ID: 60-240-medium-259441753-8
Seed: 259441753

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 60
Tasks: 240
MaxOpenTasksOnShelves: 360

Influx: Burst
Lambda: 0.90
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxReplans: 10

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 259441753

Task Agent Shelf Time Deadline
1 0 150 2 80
2 1 266 3 117
3 2 321 3 105
4 3 199 3 87
5 4 149 4 100
6 5 272 4 103
7 6 48 6 135
8 7 194 9 72
9 8 139 9 66
10 9 353 11 167
11 10 92 12 78
12 11 203 12 87
13 12 97 13 94
14 13 213 16 106
15 14 146 16 85
16 15 119 16 136
17 16 41 16 130
18 17 205 16 91
19 18 70 18 42
20 19 35 18 102
21 20 277 19 118
22 21 298 19 166
23 22 91 23 86
24 23 201 23 80
25 24 212 23 101
26 25 204 23 95
27 26 218 24 108
28 27 219 25 121
29 28 133 25 52
30 29 86 27 111
31 30 135 27 66
32 31 262 27 99
33 32 124 29 62
34 33 55 30 168
35 34 327 30 126
36 35 83 31 112
37 36 307 31 91
38 37 210 33 90
39 38 59 33 174
40 39 147 33 132
41 40 304 33 78
42 41 296 34 145
43 42 216 34 112
44 43 143 36 123
45 44 25 36 144
46 45 101 37 172
47 46 158 37 133
48 47 73 37 85
49 48 173 40 163
50 49 154 42 129
51 50 271 42 93
52 51 54 46 199
53 52 259 47 92
54 53 105 47 188
55 54 205 48 144
56 55 315 49 91
57 56 136 49 103
58 57 96 53 170
59 58 7 58 160
60 59 149 59 170
61 0 208 60 171
62 1 209 60 171
63 2 123 64 100
64 3 255 66 150
65 4 182 67 118
66 5 214 69 162
67 6 80 71 128
68 7 139 73 139
69 8 146 74 149
70 9 277 78 198
71 10 4 79 124
72 11 141 80 137
73 12 265 80 182
74 13 183 81 126
75 14 274 83 179
76 15 150 84 147
77 16 97 85 160
78 17 49 88 217
79 18 186 89 140
80 19 91 90 150
81 20 316 91 163
82 21 227 92 215
83 22 259 94 169
84 23 143 94 151
85 24 153 95 164
86 25 128 97 145
87 26 216 98 176
88 27 223 98 203
89 28 188 99 144
90 29 301 100 139
91 30 110 100 208
92 31 199 100 154
93 32 147 104 182
94 33 136 105 150
95 34 86 109 208
96 35 200 110 158
97 36 145 112 202
98 37 342 114 228
99 38 256 116 158
100 39 207 118 205
101 40 120 118 151
102 41 105 118 247
103 42 230 119 215
104 43 159 120 216
105 44 180 121 136
106 45 184 121 169
107 46 142 122 209
108 47 215 122 188
109 48 56 122 278
110 49 188 123 183
111 50 271 123 174
112 51 139 123 195
113 52 293 124 223
114 53 194 124 157
115 54 152 125 215
116 55 151 125 209
117 56 202 125 200
118 57 129 126 213
119 58 141 127 223
120 59 217 127 211
121 0 263 128 236
122 1 144 128 212
123 2 332 128 242
124 3 111 129 237
125 4 12 130 154
126 5 50 130 211
127 6 189 131 203
128 7 161 131 236
129 8 216 131 227
130 9 150 131 200
131 10 268 132 243
132 11 148 132 210
133 12 140 132 195
134 13 154 133 214
135 14 104 133 232
136 15 97 133 211
137 16 211 133 214
138 17 82 133 193
139 18 265 133 229
140 19 149 134 215
141 20 81 134 194
142 21 187 135 186
143 22 225 135 249
144 23 181 135 156
145 24 219 135 234
146 25 96 135 216
147 26 339 135 246
148 27 78 135 192
149 28 204 136 205
150 29 125 137 170
151 30 340 137 254
152 31 48 138 288
153 32 262 140 203
154 33 266 142 226
155 34 295 143 266
156 35 200 144 192
157 36 41 144 282
158 37 65 145 208
159 38 203 146 206
160 39 26 146 266
161 40 145 146 236
162 41 324 146 218
163 42 120 147 186
164 43 215 147 219
165 44 283 150 240
166 45 184 150 198
167 46 71 161 212
168 47 246 161 191
169 48 55 162 315
170 49 73 165 225
171 50 53 167 302
172 51 275 167 239
173 52 303 167 197
174 53 181 168 201
175 54 206 168 267
176 55 200 170 242
177 56 261 170 230
178 57 74 171 246
179 58 170 174 294
180 59 76 175 244
181 0 222 177 306
182 1 211 182 278
183 2 284 182 317
184 3 202 185 275
185 4 157 187 286
186 5 224 188 308
187 6 86 188 263
188 7 70 191 212
189 8 145 193 265
190 9 168 199 325
191 10 140 202 265
192 11 350 202 331
193 12 96 202 280
194 13 107 202 319
195 14 330 203 293
196 15 216 204 303
197 16 4 206 257
198 17 151 208 268
199 18 353 209 356
200 19 277 209 317
201 20 319 211 292
202 21 142 211 277
203 22 13 213 258
204 23 189 216 261
205 24 22 217 310
206 25 61 217 256
207 26 6 218 275
208 27 147 218 305
209 28 205 218 290
210 29 75 220 256
211 30 71 221 260
212 31 91 223 295
213 32 270 225 285
214 33 215 227 305
215 34 128 229 286
216 35 324 230 308
217 36 84 232 331
218 37 202 232 298
219 38 199 232 271
220 39 150 235 304
221 40 221 235 337
222 41 264 237 297
223 42 180 237 264
224 43 246 239 275
225 44 351 243 348
226 45 180 247 277
227 46 72 251 305
228 47 263 251 308
229 48 154 251 341
230 49 155 253 343
231 50 10 255 309
232 51 243 255 294
233 52 132 257 305
234 53 249 258 303
235 54 237 260 389
236 55 349 260 377
237 56 135 260 311
238 57 204 260 356
239 58 330 262 322
240 59 124 265 325
