ID: 60-240-medium-371999259-0
Seed: 371999259

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 60
Tasks: 240
MaxOpenTasksOnShelves: 360

Influx: Random
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxSimulationTimeSeconds: 240

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 371999259

Task Agent Shelf Time Deadline
1 0 177 0 141
2 1 302 0 78
3 2 113 0 105
4 3 139 1 73
5 4 121 2 38
6 5 355 4 160
7 6 91 5 74
8 7 284 5 143
9 8 32 6 60
10 9 145 6 87
11 10 285 6 144
12 11 149 8 89
13 12 292 8 146
14 13 326 9 123
15 14 108 11 122
16 15 266 11 113
17 16 311 12 81
18 17 140 12 60
19 18 151 13 82
20 19 162 14 110
21 20 141 14 62
22 21 144 17 89
23 22 127 17 59
24 23 47 18 147
25 24 187 18 66
26 25 246 18 72
27 26 191 19 46
28 27 313 19 85
29 28 325 23 119
30 29 316 27 90
31 30 273 27 114
32 31 270 27 96
33 32 353 28 151
34 33 147 29 122
35 34 306 30 87
36 35 187 37 70
37 36 331 37 124
38 37 302 37 79
39 38 8 38 113
40 39 129 39 108
41 40 73 41 92
42 41 189 41 86
43 42 234 41 149
44 43 260 46 100
45 44 235 47 146
46 45 347 50 173
47 46 31 51 150
48 47 99 51 153
49 48 20 51 156
50 49 238 52 175
51 50 184 52 91
52 51 206 53 149
53 52 163 55 187
54 53 298 58 163
55 54 224 59 188
56 55 135 61 121
57 56 102 65 200
58 57 37 68 200
59 58 67 68 158
60 0 137 69 138
61 59 272 69 126
62 1 288 70 226
63 2 205 72 162
64 3 358 72 249
65 4 79 73 130
66 5 227 73 202
67 6 165 74 194
68 7 185 77 134
69 8 11 77 92
70 9 181 78 123
71 10 219 78 189
72 11 149 80 161
73 12 93 82 151
74 13 289 82 229
75 14 213 83 164
76 15 250 84 135
77 16 23 85 169
78 17 107 86 197
79 18 81 87 159
80 19 133 88 124
81 20 12 90 120
82 21 88 91 187
83 22 0 92 131
84 23 92 94 151
85 24 131 95 122
86 25 106 96 222
87 26 196 97 139
88 27 70 98 131
89 28 105 99 225
90 29 72 100 127
91 30 336 100 208
92 31 31 101 185
93 32 73 105 138
94 33 357 105 249
95 34 243 109 145
96 35 308 109 163
97 36 95 109 202
98 37 267 111 192
99 38 140 113 170
100 39 15 113 185
101 40 252 114 150
102 41 354 114 231
103 42 229 115 247
104 43 340 116 218
105 44 77 117 174
106 45 207 117 210
107 46 146 119 218
108 47 119 120 258
109 48 84 120 231
110 49 145 123 222
111 50 356 123 237
112 51 117 123 273
113 52 359 123 252
114 53 39 124 244
115 54 253 125 158
116 55 150 126 207
117 56 38 127 247
118 57 151 127 217
119 58 98 128 248
120 59 156 130 223
121 0 225 131 269
122 1 346 134 296
123 2 276 135 249
124 3 311 135 219
125 4 233 135 270
126 5 238 136 277
127 6 212 136 232
128 7 49 137 266
129 8 246 138 201
130 9 80 138 198
131 10 278 138 258
132 11 291 139 265
133 12 164 139 250
134 13 53 140 248
135 14 171 142 241
136 15 343 142 283
137 16 48 144 279
138 17 79 145 181
139 18 305 145 217
140 19 259 147 225
141 20 190 148 172
142 21 147 152 233
143 22 41 152 272
144 23 230 153 246
145 24 133 153 186
146 25 170 154 247
147 26 337 154 259
148 27 342 155 281
149 28 322 155 242
150 29 294 155 272
151 30 328 158 263
152 31 327 159 258
153 32 63 160 202
154 33 319 161 239
155 34 34 162 258
156 35 120 162 180
157 36 241 163 193
158 37 166 163 289
159 38 189 163 205
160 39 106 164 308
161 40 358 167 305
162 41 305 169 208
163 42 62 171 234
164 43 196 171 210
165 44 307 172 214
166 45 202 172 250
167 46 36 173 287
168 47 332 174 243
169 48 284 174 285
170 49 293 174 276
171 50 94 175 265
172 51 279 175 259
173 52 95 175 280
174 53 349 177 288
175 54 288 178 307
176 55 353 179 287
177 56 176 179 305
178 57 79 181 271
179 58 33 181 298
180 0 214 182 290
181 1 173 182 308
182 59 169 182 329
183 2 256 183 261
184 3 212 187 286
185 4 241 189 249
186 5 140 189 249
187 6 113 189 300
188 7 317 190 286
189 8 263 195 285
190 9 42 196 310
191 10 154 196 280
192 11 9 197 248
193 12 136 199 253
194 13 29 200 299
195 14 1 202 232
196 15 194 204 261
197 16 342 204 339
198 17 271 205 289
199 18 152 205 277
200 19 221 208 313
201 20 148 209 278
202 21 86 211 301
203 22 205 214 292
204 23 183 214 241
205 24 296 215 353
206 25 193 216 258
207 26 19 217 274
208 27 3 220 283
209 28 188 221 266
210 29 146 223 295
211 30 157 225 306
212 31 75 228 276
213 32 321 229 301
214 33 127 232 289
215 34 56 234 372
216 35 177 235 343
217 36 271 235 310
218 37 40 237 363
219 38 147 238 322
220 39 353 239 365
221 40 307 244 298
222 41 245 245 272
223 42 96 247 349
224 43 33 248 350
225 44 218 248 320
226 45 284 250 358
227 46 189 250 310
228 47 54 252 387
229 48 133 253 304
230 49 22 253 367
231 50 357 254 371
232 51 169 254 407
233 52 350 254 350
234 53 338 255 336
235 54 324 256 325
236 55 304 258 288
237 56 344 262 355
238 57 64 262 346
239 58 223 263 389
240 59 172 263 380
