ID: 60-240-medium-371999259-1
Seed: 371999259

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 60
Tasks: 240
MaxOpenTasksOnShelves: 360

Influx: Random
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxSimulationTimeSeconds: 240

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 371999259

Task Agent Shelf Time Deadline
1 0 132 0 54
2 1 270 0 99
3 2 73 0 33
4 3 121 1 40
5 4 85 2 74
6 5 347 4 157
7 6 63 5 35
8 7 252 5 74
9 8 11 6 21
10 9 126 6 54
11 10 251 6 69
12 11 125 8 41
13 12 264 8 107
14 13 302 9 75
15 14 71 11 26
16 15 240 11 59
17 16 295 12 153
18 17 117 12 114
19 18 122 13 40
20 19 130 14 35
21 20 114 14 110
22 21 93 17 89
23 22 73 17 50
24 23 13 18 54
25 24 150 18 78
26 25 192 18 57
27 26 149 19 97
28 27 299 19 163
29 28 301 23 71
30 29 281 27 126
31 30 241 27 63
32 31 240 27 57
33 32 342 28 139
34 33 121 29 68
35 34 261 30 96
36 35 159 37 115
37 36 302 37 82
38 37 252 37 76
39 38 1 38 92
40 39 111 39 159
41 40 62 41 98
42 41 180 41 53
43 42 200 41 104
44 43 240 46 64
45 44 191 47 62
46 45 329 50 143
47 46 12 51 117
48 47 72 51 96
49 48 11 51 120
50 49 232 52 157
51 50 181 52 82
52 51 191 53 89
53 52 132 55 103
54 53 277 58 124
55 54 210 59 131
56 55 121 61 118
57 56 73 65 122
58 57 21 68 191
59 58 62 68 143
60 0 122 69 114
61 59 250 69 84
62 1 253 70 148
63 2 190 72 114
64 3 356 72 243
65 4 63 73 103
66 5 201 73 148
67 6 141 74 146
68 7 180 77 119
69 8 1 77 101
70 9 181 78 123
71 10 207 78 174
72 11 130 80 101
73 12 71 82 109
74 13 265 82 181
75 14 192 83 125
76 15 241 84 135
77 16 10 85 115
78 17 73 86 104
79 18 63 87 129
80 19 121 88 109
81 20 1 90 126
82 21 71 91 121
83 22 0 92 131
84 23 73 94 118
85 24 122 95 128
86 25 103 96 213
87 26 182 97 118
88 27 62 98 146
89 28 117 99 222
90 29 70 100 121
91 30 310 100 148
92 31 22 101 197
93 32 61 105 141
94 33 353 105 237
95 34 208 109 190
96 35 275 109 187
97 36 72 109 157
98 37 242 111 141
99 38 122 113 146
100 39 1 113 182
101 40 240 114 135
102 41 348 114 234
103 42 192 115 145
104 43 311 116 158
105 44 63 117 171
106 45 182 117 159
107 46 124 119 176
108 47 91 120 198
109 48 70 120 174
110 49 131 123 165
111 50 355 123 234
112 51 118 123 276
113 52 357 123 246
114 53 13 124 190
115 54 242 125 164
116 55 130 126 171
117 56 18 127 211
118 57 132 127 184
119 58 73 128 197
120 59 152 130 211
121 0 205 131 233
122 1 330 134 245
123 2 251 135 198
124 3 301 135 210
125 4 192 135 195
126 5 208 136 232
127 6 190 136 184
128 7 44 137 251
129 8 236 138 270
130 9 63 138 171
131 10 250 138 192
132 11 257 139 211
133 12 131 139 178
134 13 49 140 275
135 14 130 142 160
136 15 325 142 253
137 16 20 144 213
138 17 61 145 166
139 18 296 145 289
140 19 240 147 189
141 20 160 148 229
142 21 119 152 278
143 22 13 152 197
144 23 182 153 177
145 24 81 153 231
146 25 122 154 184
147 26 310 154 196
148 27 319 155 239
149 28 300 155 200
150 29 242 155 185
151 30 302 158 209
152 31 284 159 273
153 32 58 160 292
154 33 258 161 224
155 34 12 162 216
156 35 73 162 198
157 36 192 163 193
158 37 130 163 190
159 38 165 163 277
160 39 71 164 212
161 40 359 167 308
162 41 252 169 196
163 42 54 171 315
164 43 180 171 195
165 44 261 172 220
166 45 181 172 211
167 46 13 173 242
168 47 310 174 195
169 48 242 174 207
170 49 250 174 189
171 50 66 175 244
172 51 241 175 208
173 52 63 175 247
174 53 338 177 258
175 54 251 178 205
176 55 348 179 293
177 56 132 179 221
178 57 61 181 256
179 58 11 181 256
180 0 188 182 257
181 1 136 182 245
182 59 131 182 224
183 2 225 183 309
184 3 190 187 238
185 4 208 189 294
186 5 121 189 216
187 6 73 189 228
188 7 302 190 262
189 8 240 195 240
190 9 13 196 232
191 10 130 196 226
192 11 1 197 224
193 12 122 199 232
194 13 12 200 233
195 14 0 202 223
196 15 182 204 246
197 16 327 204 318
198 17 251 205 253
199 18 132 205 241
200 19 191 208 250
201 20 114 209 305
202 21 67 211 268
203 22 171 214 313
204 23 131 214 232
205 24 273 215 308
206 25 155 216 288
207 26 6 217 274
208 27 0 220 268
209 28 148 221 308
210 29 122 223 247
211 30 130 225 249
212 31 61 228 273
213 32 301 229 265
214 33 98 232 331
215 34 60 234 273
216 35 131 235 253
217 36 242 235 268
218 37 13 237 297
219 38 121 238 268
220 39 344 239 359
221 40 289 244 364
222 41 228 245 359
223 42 72 247 301
224 43 11 248 308
225 44 192 248 266
226 45 251 250 280
227 46 172 250 364
228 47 58 252 399
229 48 121 253 307
230 49 10 253 316
231 50 354 254 362
232 51 154 254 347
233 52 336 254 338
234 53 310 255 270
235 54 300 256 277
236 55 252 258 285
237 56 320 262 307
238 57 61 262 337
239 58 191 263 302
240 59 149 263 374
