ID: 60-240-medium-371999259-2
Seed: 371999259

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 60
Tasks: 240
MaxOpenTasksOnShelves: 360

Influx: Random
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxSimulationTimeSeconds: 240

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 371999259

Task Agent Shelf Time Deadline
1 0 186 0 69
2 1 272 0 111
3 2 140 0 63
4 3 151 1 85
5 4 143 2 80
6 5 351 4 148
7 6 123 5 47
8 7 262 5 101
9 8 52 6 96
10 9 154 6 93
11 10 261 6 96
12 11 155 8 86
13 12 267 8 116
14 13 311 9 81
15 14 135 11 50
16 15 244 11 71
17 16 285 12 144
18 17 152 12 75
19 18 158 13 103
20 19 175 14 128
21 20 153 14 77
22 21 156 17 98
23 22 144 17 86
24 23 73 18 42
25 24 197 18 75
26 25 219 18 114
27 26 199 19 70
28 27 290 19 130
29 28 313 23 86
30 29 296 27 150
31 30 254 27 81
32 31 250 27 60
33 32 347 28 154
34 33 151 29 95
35 34 281 30 132
36 35 196 37 70
37 36 319 37 112
38 37 274 37 118
39 38 16 38 98
40 39 147 39 138
41 40 95 41 134
42 41 197 41 71
43 42 213 41 110
44 43 245 46 79
45 44 214 47 107
46 45 337 50 146
47 46 50 51 183
48 47 130 51 78
49 48 31 51 156
50 49 212 52 121
51 50 188 52 103
52 51 201 53 134
53 52 159 55 160
54 53 270 58 103
55 54 206 59 158
56 55 146 61 169
57 56 130 65 101
58 57 61 68 143
59 58 91 68 167
60 0 150 69 147
61 59 252 69 90
62 1 263 70 175
63 2 202 72 153
64 3 357 72 246
65 4 101 73 169
66 5 211 73 157
67 6 166 74 197
68 7 188 77 143
69 8 20 77 128
70 9 186 78 138
71 10 208 78 177
72 11 154 80 155
73 12 126 82 127
74 13 267 82 187
75 14 204 83 158
76 15 228 84 216
77 16 36 85 169
78 17 136 86 125
79 18 103 87 201
80 19 147 88 163
81 20 21 90 162
82 21 117 91 211
83 22 1 92 140
84 23 121 94 109
85 24 144 95 170
86 25 133 96 126
87 26 197 97 142
88 27 93 98 176
89 28 135 99 132
90 29 95 100 172
91 30 322 100 187
92 31 51 101 221
93 32 94 105 177
94 33 355 105 243
95 34 215 109 184
96 35 277 109 193
97 36 128 109 172
98 37 248 111 159
99 38 152 113 173
100 39 26 113 233
101 40 224 114 225
102 41 351 114 222
103 42 210 115 175
104 43 329 116 209
105 44 105 117 249
106 45 202 117 195
107 46 153 119 200
108 47 141 120 195
109 48 116 120 264
110 49 154 123 210
111 50 356 123 237
112 51 142 123 219
113 52 358 123 249
114 53 63 124 187
115 54 235 125 248
116 55 156 126 225
117 56 61 127 187
118 57 157 127 235
119 58 129 128 212
120 59 168 130 274
121 0 212 131 233
122 1 337 134 272
123 2 260 135 222
124 3 289 135 294
125 4 213 135 234
126 5 215 136 232
127 6 204 136 229
128 7 78 137 188
129 8 222 138 249
130 9 100 138 234
131 10 262 138 231
132 11 270 139 220
133 12 170 139 241
134 13 80 140 200
135 14 182 142 175
136 15 334 142 259
137 16 75 144 177
138 17 98 145 214
139 18 278 145 259
140 19 237 147 279
141 20 196 148 196
142 21 152 152 221
143 22 65 152 200
144 23 210 153 210
145 24 145 153 231
146 25 178 154 271
147 26 325 154 244
148 27 332 155 254
149 28 307 155 221
150 29 271 155 227
151 30 317 158 233
152 31 318 159 234
153 32 84 160 241
154 33 303 161 212
155 34 54 162 294
156 35 139 162 204
157 36 214 163 235
158 37 161 163 274
159 38 188 163 202
160 39 129 164 233
161 40 359 167 308
162 41 277 169 247
163 42 86 171 282
164 43 198 171 216
165 44 280 172 253
166 45 201 172 247
167 46 60 173 224
168 47 321 174 231
169 48 263 174 246
170 49 269 174 261
171 50 122 175 220
172 51 261 175 244
173 52 120 175 220
174 53 341 177 264
175 54 266 178 265
176 55 350 179 272
177 56 182 179 218
178 57 97 181 301
179 58 57 181 346
180 0 203 182 278
181 1 174 182 311
182 59 171 182 296
183 2 234 183 315
184 3 204 187 283
185 4 215 189 294
186 5 150 189 252
187 6 138 189 255
188 7 304 190 268
189 8 245 195 255
190 9 69 196 247
191 10 157 196 289
192 11 18 197 236
193 12 151 199 274
194 13 46 200 326
195 14 2 202 235
196 15 198 204 273
197 16 332 204 312
198 17 253 205 259
199 18 158 205 295
200 19 209 208 301
201 20 154 209 275
202 21 108 211 343
203 22 202 214 283
204 23 189 214 259
205 24 272 215 305
206 25 196 216 267
207 26 29 217 319
208 27 6 220 292
209 28 188 221 266
210 29 152 223 274
211 30 155 225 300
212 31 92 228 303
213 32 306 229 280
214 33 143 232 313
215 34 80 234 309
216 35 185 235 262
217 36 253 235 280
218 37 63 237 294
219 38 154 238 304
220 39 347 239 368
221 40 279 244 337
222 41 218 245 314
223 42 129 247 319
224 43 53 248 386
225 44 207 248 326
226 45 263 250 319
227 46 194 250 286
228 47 81 252 339
229 48 150 253 331
230 49 33 253 361
231 50 355 254 365
232 51 183 254 305
233 52 342 254 353
234 53 328 255 327
235 54 311 256 289
236 55 276 258 333
237 56 333 262 325
238 57 90 262 361
239 58 206 263 362
240 59 180 263 293
