ID: 60-240-medium-371999259-3
Seed: 371999259

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 60
Tasks: 240
MaxOpenTasksOnShelves: 360

Influx: Gaussian
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxSimulationTimeSeconds: 240

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 371999259

Task Agent Shelf Time Deadline
1 0 305 2 92
2 1 247 26 107
3 2 160 29 128
4 3 322 40 154
5 4 115 43 160
6 5 177 46 172
7 6 88 49 130
8 7 185 50 107
9 8 179 54 183
10 9 49 60 195
11 10 105 66 174
12 11 158 68 155
13 12 337 68 197
14 13 121 69 96
15 14 159 71 158
16 15 208 72 168
17 16 335 73 190
18 17 201 74 137
19 18 151 75 144
20 19 186 76 124
21 20 286 78 201
22 21 217 79 175
23 22 180 80 107
24 23 340 80 194
25 24 181 81 111
26 25 47 83 224
27 26 205 83 149
28 27 9 84 165
29 28 203 84 150
30 29 91 84 144
31 30 137 85 130
32 31 121 85 118
33 32 10 87 123
34 33 98 88 187
35 34 90 88 160
36 35 85 90 177
37 36 5 90 168
38 37 300 90 126
39 38 355 92 215
40 39 315 94 154
41 40 258 94 148
42 41 262 95 149
43 42 301 95 131
44 43 70 96 141
45 44 130 96 120
46 45 188 96 156
47 46 109 97 253
48 47 209 97 184
49 48 268 98 185
50 49 194 99 138
51 50 307 99 135
52 51 354 99 216
53 52 118 100 250
54 53 126 101 161
55 54 263 101 179
56 55 192 102 141
57 56 357 102 213
58 0 339 103 250
59 1 23 103 172
60 57 97 103 223
61 58 144 103 208
62 59 107 103 256
63 2 156 104 194
64 3 219 104 224
65 4 71 104 137
66 5 265 104 203
67 6 212 104 200
68 7 152 105 186
69 8 249 106 178
70 9 198 107 182
71 10 122 107 140
72 11 197 107 167
73 12 235 107 242
74 13 136 109 160
75 14 181 109 139
76 15 279 109 229
77 16 38 111 201
78 17 164 111 207
79 18 119 111 234
80 19 185 112 157
81 20 334 112 214
82 21 4 112 172
83 22 46 112 247
84 23 194 112 151
85 24 241 113 155
86 25 280 113 221
87 26 155 113 176
88 27 290 114 225
89 28 82 114 195
90 29 34 114 195
91 30 223 114 216
92 31 168 114 240
93 32 254 114 156
94 33 335 115 217
95 34 111 115 226
96 35 105 115 238
97 36 247 116 164
98 37 76 116 173
99 38 166 117 234
100 39 189 117 174
101 40 353 118 241
102 41 83 118 205
103 42 25 119 239
104 43 39 120 240
105 44 218 120 192
106 45 203 121 202
107 46 103 121 259
108 47 150 121 184
109 48 79 121 202
110 49 30 122 221
111 50 188 122 173
112 51 186 122 182
113 52 54 122 272
114 53 264 122 188
115 54 95 123 234
116 55 256 123 162
117 56 9 125 221
118 57 259 126 180
119 58 163 126 264
120 0 129 127 193
121 1 232 127 262
122 2 292 127 265
123 3 314 127 220
124 4 185 127 187
125 59 251 127 145
126 5 284 128 260
127 6 337 129 264
128 7 260 129 219
129 8 346 129 276
130 9 336 129 258
131 10 126 129 174
132 11 55 132 234
133 12 221 132 246
134 13 326 132 246
135 14 343 133 265
136 15 142 133 199
137 16 208 133 226
138 17 125 135 162
139 18 302 136 199
140 19 0 137 173
141 20 307 137 203
142 21 281 137 254
143 22 15 137 188
144 23 115 137 239
145 24 231 138 249
146 25 3 138 195
147 26 253 138 183
148 27 263 140 221
149 28 165 141 255
150 29 136 141 168
151 30 75 142 193
152 31 65 143 200
153 32 70 143 167
154 33 291 143 257
155 34 173 144 249
156 35 358 146 281
157 36 256 146 200
158 37 210 146 203
159 38 6 146 215
160 39 76 146 209
161 40 286 146 257
162 41 184 147 177
163 42 117 147 288
164 43 246 148 184
165 44 285 150 246
166 45 49 150 321
167 46 16 151 229
168 47 223 151 256
169 48 301 151 181
170 49 100 151 277
171 50 205 152 230
172 51 215 153 237
173 52 331 153 222
174 53 87 153 264
175 54 299 154 277
176 55 296 155 266
177 56 197 156 201
178 57 91 156 258
179 58 347 156 270
180 59 270 157 208
181 0 169 158 296
182 1 233 158 296
183 2 189 159 225
184 3 43 161 272
185 4 350 161 305
186 5 84 162 222
187 6 272 163 271
188 7 8 163 217
189 8 177 164 287
190 9 70 164 185
191 10 170 164 266
192 11 237 165 297
193 12 118 166 286
194 13 228 166 298
195 14 245 167 221
196 15 152 168 243
197 16 149 168 252
198 17 183 168 201
199 18 133 168 207
200 19 31 170 242
201 20 42 171 282
202 21 300 172 226
203 22 338 172 292
204 23 353 172 304
205 24 226 173 290
206 25 83 174 255
207 26 110 174 264
208 27 329 177 288
209 28 157 179 254
210 29 56 179 302
211 30 265 180 264
212 31 86 180 276
213 32 312 181 229
214 33 158 181 268
215 34 128 182 239
216 35 359 182 320
217 36 231 185 284
218 37 321 185 260
219 38 224 186 285
220 39 35 187 295
221 40 227 191 311
222 41 255 193 229
223 42 80 194 281
224 43 348 197 323
225 44 109 199 343
226 45 356 200 329
227 46 151 201 276
228 47 194 202 229
229 48 60 206 263
230 49 148 208 316
231 50 254 213 237
232 51 312 214 253
233 52 13 217 292
234 53 85 221 326
235 54 14 224 308
236 55 73 239 305
237 56 11 240 303
238 57 47 244 421
239 58 255 245 284
240 59 54 252 399
