ID: 60-240-medium-371999259-4
Seed: 371999259

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 60
Tasks: 240
MaxOpenTasksOnShelves: 360

Influx: Gaussian
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxSimulationTimeSeconds: 240

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 371999259

Task Agent Shelf Time Deadline
1 0 276 2 128
2 1 223 26 155
3 2 130 29 59
4 3 301 40 115
5 4 73 43 82
6 5 132 46 85
7 6 63 49 79
8 7 173 50 170
9 8 156 54 138
10 9 27 60 153
11 10 72 66 96
12 11 130 68 89
13 12 310 68 134
14 13 81 69 132
15 14 127 71 107
16 15 182 72 114
17 16 302 73 136
18 17 180 74 98
19 18 121 75 99
20 19 132 76 109
21 20 250 78 114
22 21 183 79 118
23 22 130 80 98
24 23 308 80 146
25 24 131 81 108
26 25 13 83 131
27 26 180 83 98
28 27 1 84 141
29 28 181 84 108
30 29 63 84 123
31 30 107 85 223
32 31 73 85 127
33 32 6 87 150
34 33 71 88 130
35 34 70 88 124
36 35 72 90 123
37 36 0 90 147
38 37 272 90 165
39 38 349 92 218
40 39 301 94 133
41 40 242 94 121
42 41 241 95 110
43 42 281 95 191
44 43 62 96 156
45 44 130 96 120
46 45 182 96 138
47 46 120 97 136
48 47 191 97 115
49 48 251 98 125
50 49 180 99 129
51 50 300 99 114
52 51 347 99 216
53 52 80 100 193
54 53 84 101 203
55 54 241 101 137
56 55 144 102 204
57 56 353 102 201
58 0 315 103 202
59 1 11 103 127
60 57 70 103 166
61 58 121 103 163
62 59 71 103 157
63 2 131 104 143
64 3 192 104 167
65 4 60 104 125
66 5 250 104 155
67 6 190 104 152
68 7 130 105 138
69 8 242 106 157
70 9 191 107 161
71 10 85 107 179
72 11 181 107 140
73 12 243 107 167
74 13 101 109 208
75 14 160 109 196
76 15 275 109 217
77 16 12 111 147
78 17 132 111 138
79 18 73 111 144
80 19 180 112 142
81 20 311 112 169
82 21 0 112 154
83 22 32 112 190
84 23 182 112 136
85 24 249 113 179
86 25 284 113 233
87 26 123 113 137
88 27 300 114 162
89 28 61 114 156
90 29 13 114 156
91 30 240 114 147
92 31 150 114 171
93 32 252 114 150
94 33 322 115 199
95 34 88 115 220
96 35 81 115 190
97 36 245 116 158
98 37 62 116 170
99 38 131 117 138
100 39 174 117 234
101 40 351 118 235
102 41 67 118 181
103 42 10 119 179
104 43 35 120 228
105 44 196 120 150
106 45 190 121 148
107 46 83 121 223
108 47 127 121 178
109 48 71 121 178
110 49 23 122 239
111 50 180 122 143
112 51 169 122 275
113 52 60 122 179
114 53 251 122 134
115 54 79 123 210
116 55 241 123 156
117 56 1 125 197
118 57 235 126 252
119 58 126 126 201
120 0 115 127 250
121 1 193 127 193
122 2 272 127 229
123 3 302 127 205
124 4 135 127 184
125 59 231 127 229
126 5 250 128 179
127 6 313 129 216
128 7 199 129 207
129 8 332 129 237
130 9 312 129 210
131 10 73 129 162
132 11 36 132 201
133 12 181 132 174
134 13 310 132 195
135 14 326 133 238
136 15 120 133 157
137 16 180 133 166
138 17 76 135 162
139 18 266 136 235
140 19 0 137 173
141 20 281 137 245
142 21 242 137 185
143 22 11 137 176
144 23 84 137 209
145 24 190 138 168
146 25 6 138 204
147 26 212 138 204
148 27 213 140 218
149 28 130 141 159
150 29 116 141 252
151 30 69 142 214
152 31 63 143 194
153 32 70 143 167
154 33 270 143 212
155 34 145 144 228
156 35 357 146 278
157 36 234 146 254
158 37 191 146 170
159 38 12 146 194
160 39 72 146 197
161 40 279 146 239
162 41 182 147 171
163 42 121 147 195
164 43 252 148 181
165 44 278 150 228
166 45 39 150 276
167 46 0 151 214
168 47 192 151 172
169 48 300 151 178
170 49 92 151 244
171 50 176 152 272
172 51 180 153 189
173 52 322 153 216
174 53 71 153 201
175 54 297 154 271
176 55 290 155 248
177 56 197 156 201
178 57 99 156 282
179 58 340 156 249
180 59 254 157 184
181 0 140 158 233
182 1 242 158 224
183 2 160 159 258
184 3 51 161 257
185 4 345 161 317
186 5 70 162 177
187 6 260 163 256
188 7 13 163 193
189 8 151 164 233
190 9 64 164 200
191 10 139 164 227
192 11 237 165 297
193 12 122 166 199
194 13 211 166 250
195 14 226 167 284
196 15 171 168 276
197 16 167 168 282
198 17 182 168 198
199 18 132 168 204
200 19 61 170 203
201 20 62 171 198
202 21 301 172 229
203 22 325 172 274
204 23 349 172 313
205 24 250 173 215
206 25 97 174 258
207 26 130 174 180
208 27 317 177 255
209 28 179 179 296
210 29 55 179 299
211 30 251 180 225
212 31 70 180 213
213 32 300 181 214
214 33 154 181 256
215 34 93 182 263
216 35 359 182 320
217 36 192 185 215
218 37 302 185 227
219 38 190 186 192
220 39 23 187 298
221 40 198 191 233
222 41 240 193 205
223 42 63 194 260
224 43 333 197 281
225 44 89 199 307
226 45 354 200 323
227 46 130 201 237
228 47 182 202 232
229 48 59 206 371
230 49 124 208 268
231 50 241 213 231
232 51 301 214 241
233 52 1 217 295
234 53 70 221 266
235 54 10 224 296
236 55 62 239 311
237 56 8 240 333
238 57 39 244 382
239 58 240 245 272
240 59 60 252 306
