ID: 60-240-medium-371999259-5
Seed: 371999259

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 60
Tasks: 240
MaxOpenTasksOnShelves: 360

Influx: Gaussian
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxSimulationTimeSeconds: 240

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 371999259

Task Agent Shelf Time Deadline
1 0 273 2 119
2 1 216 26 137
3 2 160 29 128
4 3 302 40 118
5 4 141 43 115
6 5 186 46 100
7 6 120 49 82
8 7 190 50 95
9 8 187 54 108
10 9 79 60 114
11 10 136 66 120
12 11 159 68 158
13 12 323 68 176
14 13 142 69 135
15 14 161 71 161
16 15 202 72 150
17 16 321 73 169
18 17 200 74 134
19 18 155 75 156
20 19 189 76 133
21 20 263 78 156
22 21 206 79 163
23 22 185 80 122
24 23 328 80 182
25 24 186 81 126
26 25 76 83 128
27 26 201 83 137
28 27 17 84 150
29 28 199 84 141
30 29 118 84 201
31 30 147 85 175
32 31 140 85 145
33 32 19 87 150
34 33 125 88 139
35 34 112 88 202
36 35 103 90 207
37 36 10 90 144
38 37 272 90 165
39 38 351 92 203
40 39 291 94 202
41 40 232 94 190
42 41 238 95 200
43 42 273 95 170
44 43 91 96 180
45 44 144 96 177
46 45 189 96 159
47 46 134 97 145
48 47 203 97 166
49 48 248 98 149
50 49 196 99 144
51 50 277 99 168
52 51 349 99 222
53 52 139 100 169
54 53 143 101 188
55 54 243 101 143
56 55 198 102 159
57 56 354 102 204
58 0 330 103 217
59 1 33 103 169
60 57 126 103 181
61 58 153 103 196
62 59 133 103 151
63 2 163 104 212
64 3 210 104 191
65 4 90 104 164
66 5 249 104 179
67 6 205 104 200
68 7 157 105 201
69 8 229 106 238
70 9 200 107 185
71 10 141 107 173
72 11 201 107 176
73 12 216 107 209
74 13 150 109 172
75 14 188 109 160
76 15 262 109 199
77 16 56 111 231
78 17 166 111 213
79 18 138 111 165
80 19 190 112 145
81 20 324 112 205
82 21 8 112 184
83 22 67 112 166
84 23 197 112 160
85 24 218 113 209
86 25 263 113 194
87 26 155 113 176
88 27 268 114 210
89 28 95 114 195
90 29 47 114 249
91 30 211 114 183
92 31 169 114 243
93 32 235 114 219
94 33 327 115 214
95 34 129 115 175
96 35 128 115 163
97 36 231 116 215
98 37 92 116 197
99 38 174 117 219
100 39 193 117 147
101 40 350 118 226
102 41 99 118 214
103 42 34 119 227
104 43 57 120 270
105 44 208 120 201
106 45 202 121 199
107 46 132 121 163
108 47 158 121 208
109 48 96 121 229
110 49 41 122 269
111 50 195 122 155
112 51 191 122 158
113 52 75 122 191
114 53 255 122 146
115 54 123 123 189
116 55 243 123 162
117 56 16 125 203
118 57 245 126 177
119 58 164 126 267
120 0 142 127 208
121 1 214 127 232
122 2 271 127 226
123 3 297 127 289
124 4 186 127 190
125 59 232 127 232
126 5 265 128 227
127 6 329 129 261
128 7 246 129 201
129 8 338 129 255
130 9 328 129 255
131 10 139 129 192
132 11 78 132 171
133 12 207 132 228
134 13 320 132 228
135 14 333 133 238
136 15 148 133 217
137 16 200 133 202
138 17 141 135 186
139 18 277 136 247
140 19 0 137 173
141 20 283 137 251
142 21 261 137 218
143 22 23 137 227
144 23 136 137 170
145 24 212 138 216
146 25 5 138 201
147 26 228 138 249
148 27 247 140 197
149 28 156 141 213
150 29 146 141 213
151 30 91 142 217
152 31 83 143 230
153 32 87 143 233
154 33 270 143 212
155 34 167 144 270
156 35 357 146 278
157 36 239 146 269
158 37 203 146 215
159 38 9 146 224
160 39 93 146 236
161 40 266 146 221
162 41 183 147 174
163 42 138 147 207
164 43 224 148 262
165 44 264 150 207
166 45 66 150 228
167 46 21 151 259
168 47 206 151 229
169 48 278 151 235
170 49 125 151 214
171 50 199 152 197
172 51 204 153 243
173 52 322 153 216
174 53 103 153 288
175 54 275 154 229
176 55 274 155 224
177 56 194 156 192
178 57 112 156 297
179 58 337 156 237
180 59 258 157 196
181 0 168 158 293
182 1 217 158 272
183 2 188 159 222
184 3 64 161 197
185 4 344 161 314
186 5 105 162 261
187 6 262 163 262
188 7 12 163 190
189 8 181 164 200
190 9 90 164 227
191 10 172 164 278
192 11 218 165 264
193 12 143 166 238
194 13 213 166 256
195 14 231 167 278
196 15 154 168 249
197 16 155 168 249
198 17 189 168 219
199 18 149 168 252
200 19 44 170 296
201 20 62 171 198
202 21 281 172 289
203 22 330 172 262
204 23 348 172 310
205 24 211 173 248
206 25 100 174 276
207 26 133 174 195
208 27 323 177 270
209 28 157 179 254
210 29 75 179 215
211 30 249 180 240
212 31 96 180 267
213 32 298 181 307
214 33 158 181 268
215 34 144 182 263
216 35 359 182 320
217 36 215 185 260
218 37 310 185 224
219 38 210 186 234
220 39 45 187 340
221 40 214 191 257
222 41 243 193 214
223 42 92 194 284
224 43 341 197 302
225 44 128 199 256
226 45 355 200 326
227 46 152 201 279
228 47 193 202 226
229 48 78 206 284
230 49 151 208 286
231 50 252 213 231
232 51 302 214 244
233 52 19 217 310
234 53 99 221 329
235 54 20 224 335
236 55 93 239 341
237 56 18 240 324
238 57 69 244 343
239 58 240 245 272
240 59 80 252 342
