ID: 60-240-medium-371999259-6
Seed: 371999259

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 60
Tasks: 240
MaxOpenTasksOnShelves: 360

Influx: Burst
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxSimulationTimeSeconds: 240

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 371999259

Task Agent Shelf Time Deadline
1 0 287 0 156
2 1 79 0 60
3 2 185 0 54
4 3 344 1 157
5 4 323 3 117
6 5 300 3 63
7 6 110 6 102
8 7 107 6 117
9 8 345 10 154
10 9 284 12 150
11 10 322 14 119
12 11 142 15 75
13 12 224 17 140
14 13 233 17 143
15 14 222 20 125
16 15 316 21 108
17 16 279 25 142
18 17 359 25 181
19 18 42 26 149
20 19 57 26 152
21 20 165 31 127
22 21 34 31 118
23 22 153 32 101
24 23 261 41 110
25 24 220 43 142
26 25 210 47 110
27 26 173 47 140
28 27 191 48 84
29 28 338 48 162
30 29 235 48 156
31 30 56 50 188
32 31 342 50 170
33 32 131 52 67
34 33 40 52 178
35 34 93 53 134
36 35 12 54 99
37 36 318 54 126
38 37 208 55 139
39 38 23 56 152
40 39 49 60 225
41 40 264 61 130
42 41 11 62 110
43 42 58 62 218
44 43 116 66 201
45 44 322 67 130
46 45 339 68 170
47 46 100 70 193
48 47 152 71 140
49 48 303 71 107
50 49 296 74 185
51 50 69 75 153
52 51 274 78 147
53 52 221 78 192
54 53 112 80 203
55 54 289 80 212
56 55 193 81 123
57 56 238 81 201
58 57 76 86 167
59 0 337 87 228
60 1 214 87 192
61 58 41 87 243
62 59 331 87 141
63 2 305 90 168
64 3 138 91 160
65 4 227 95 233
66 5 224 99 219
67 6 98 100 190
68 7 278 101 224
69 8 33 102 159
70 9 144 102 180
71 10 328 103 226
72 11 351 103 241
73 12 24 103 190
74 13 203 104 185
75 14 6 105 150
76 15 18 109 166
77 16 165 112 220
78 17 113 114 204
79 18 119 114 237
80 19 157 117 201
81 20 263 119 197
82 21 85 120 207
83 22 146 120 195
84 23 26 120 210
85 24 253 121 178
86 25 356 122 269
87 26 220 122 209
88 27 192 122 161
89 28 269 122 218
90 29 97 123 201
91 30 80 123 198
92 31 206 123 195
93 32 53 124 241
94 33 83 125 218
95 34 235 125 236
96 35 212 125 182
97 36 14 125 191
98 37 322 125 203
99 38 69 126 192
100 39 136 128 179
101 40 340 128 233
102 41 301 128 155
103 42 246 129 168
104 43 45 129 282
105 44 228 129 246
106 45 21 131 242
107 46 258 131 179
108 47 280 132 216
109 48 210 132 198
110 49 88 132 252
111 50 255 132 159
112 51 296 132 243
113 52 183 132 180
114 53 73 133 187
115 54 323 134 200
116 55 122 134 194
117 56 240 135 150
118 57 174 135 270
119 58 32 135 249
120 59 275 135 201
121 0 98 136 232
122 1 198 136 217
123 2 72 137 167
124 3 99 137 233
125 4 6 137 182
126 5 150 138 201
127 6 305 139 223
128 7 170 140 245
129 8 102 140 227
130 9 86 140 218
131 10 331 140 251
132 11 25 140 215
133 12 179 141 276
134 13 79 141 189
135 14 33 142 205
136 15 3 142 193
137 16 154 143 221
138 17 118 143 248
139 18 299 143 296
140 19 315 145 223
141 20 135 147 180
142 21 251 147 201
143 22 168 149 266
144 23 108 150 270
145 24 196 151 205
146 25 325 152 251
147 26 91 153 210
148 27 18 161 230
149 28 282 162 273
150 29 87 162 249
151 30 354 162 300
152 31 324 163 253
153 32 329 166 262
154 33 123 166 211
155 34 193 167 200
156 35 224 169 265
157 36 126 169 226
158 37 142 170 248
159 38 68 172 235
160 39 322 172 250
161 40 40 173 302
162 41 194 173 194
163 42 33 175 280
164 43 178 176 305
165 44 74 176 224
166 45 19 176 266
167 46 163 177 303
168 47 49 178 337
169 48 161 180 306
170 49 269 181 268
171 50 69 181 259
172 51 230 182 287
173 52 275 185 254
174 53 202 186 258
175 54 228 186 327
176 55 157 186 288
177 56 155 188 275
178 57 51 189 339
179 0 44 191 302
180 1 85 191 266
181 58 43 191 353
182 59 80 191 281
183 2 215 192 291
184 3 303 194 275
185 4 295 194 347
186 5 185 195 246
187 6 227 198 336
188 7 274 201 312
189 8 213 201 288
190 9 188 203 269
191 10 92 203 269
192 11 184 204 246
193 12 293 205 346
194 13 158 206 299
195 14 337 207 324
196 15 257 209 287
197 16 145 209 281
198 17 38 209 290
199 18 288 211 352
200 19 291 211 337
201 20 239 212 341
202 21 120 213 231
203 22 222 214 319
204 23 328 215 317
205 24 203 216 288
206 25 27 217 322
207 26 15 218 263
208 27 323 219 312
209 28 16 220 280
210 29 268 220 304
211 30 253 222 273
212 31 231 222 324
213 32 9 225 297
214 33 187 227 272
215 34 122 234 273
216 35 302 234 270
217 36 165 236 362
218 37 91 236 314
219 38 197 241 274
220 39 104 241 379
221 40 355 241 370
222 41 72 243 282
223 42 283 244 346
224 43 121 248 293
225 44 57 251 392
226 45 272 251 320
227 46 110 251 371
228 47 114 257 380
229 48 132 257 305
230 49 308 258 306
231 50 267 258 330
232 51 302 259 289
233 52 69 259 349
234 53 173 259 373
235 54 240 260 287
236 55 144 261 363
237 56 78 263 335
238 57 60 264 330
239 58 251 265 292
240 59 130 265 304
