ID: 60-240-medium-371999259-7
Seed: 371999259

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 60
Tasks: 240
MaxOpenTasksOnShelves: 360

Influx: Burst
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxSimulationTimeSeconds: 240

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 371999259

Task Agent Shelf Time Deadline
1 0 251 0 75
2 1 62 0 30
3 2 155 0 87
4 3 314 1 94
5 4 301 3 75
6 5 254 3 72
7 6 73 6 45
8 7 72 6 39
9 8 319 10 103
10 9 250 12 69
11 10 302 14 83
12 11 121 15 36
13 12 182 17 62
14 13 191 17 65
15 14 181 20 50
16 15 293 21 159
17 16 242 25 76
18 17 357 25 175
19 18 13 26 71
20 19 50 26 131
21 20 130 31 43
22 21 12 31 76
23 22 122 32 59
24 23 241 41 74
25 24 190 43 73
26 25 182 47 77
27 26 131 47 62
28 27 162 48 156
29 28 310 48 96
30 29 192 48 75
31 30 32 50 140
32 31 318 50 125
33 32 95 52 127
34 33 13 52 112
35 34 70 53 89
36 35 1 54 105
37 36 300 54 93
38 37 181 55 82
39 38 11 56 101
40 39 60 60 108
41 40 241 61 85
42 41 10 62 107
43 42 62 62 125
44 43 120 66 102
45 44 302 67 94
46 45 310 68 101
47 46 90 70 154
48 47 131 71 101
49 48 261 71 137
50 49 252 74 101
51 50 61 75 129
52 51 242 78 114
53 52 190 78 108
54 53 73 80 134
55 54 264 80 161
56 55 180 81 117
57 56 206 81 168
58 57 62 86 164
59 0 310 87 165
60 1 189 87 162
61 58 12 87 165
62 59 308 87 123
63 2 272 90 192
64 3 122 91 133
65 4 192 95 155
66 5 191 99 147
67 6 71 100 133
68 7 251 101 167
69 8 11 102 117
70 9 121 102 135
71 10 302 103 172
72 11 339 103 229
73 12 10 103 133
74 13 181 104 143
75 14 0 105 126
76 15 11 109 145
77 16 130 112 136
78 17 72 114 129
79 18 73 114 147
80 19 131 117 147
81 20 241 119 155
82 21 63 120 165
83 22 122 120 147
84 23 10 120 147
85 24 234 121 241
86 25 349 122 269
87 26 191 122 149
88 27 180 122 146
89 28 247 122 176
90 29 71 123 147
91 30 62 123 174
92 31 190 123 144
93 32 37 124 217
94 33 61 125 176
95 34 230 125 221
96 35 192 125 146
97 36 1 125 191
98 37 301 125 164
99 38 60 126 159
100 39 130 128 161
101 40 319 128 197
102 41 296 128 239
103 42 242 129 156
104 43 13 129 195
105 44 217 129 198
106 45 11 131 197
107 46 241 131 155
108 47 251 132 150
109 48 190 132 162
110 49 73 132 192
111 50 240 132 141
112 51 280 132 228
113 52 180 132 165
114 53 71 133 181
115 54 305 134 170
116 55 121 134 191
117 56 227 135 261
118 57 171 135 261
119 58 12 135 213
120 59 252 135 156
121 0 98 136 232
122 1 183 136 193
123 2 70 137 155
124 3 96 137 224
125 4 0 137 158
126 5 157 138 228
127 6 300 139 208
128 7 179 140 278
129 8 120 140 161
130 9 91 140 206
131 10 310 140 206
132 11 40 140 230
133 12 181 141 183
134 13 72 141 168
135 14 55 142 247
136 15 10 142 175
137 16 170 143 239
138 17 131 143 167
139 18 268 143 248
140 19 301 145 202
141 20 130 147 159
142 21 241 147 192
143 22 161 149 245
144 23 75 150 180
145 24 178 151 271
146 25 287 152 281
147 26 63 153 189
148 27 9 161 242
149 28 248 162 219
150 29 64 162 204
151 30 346 162 297
152 31 300 163 205
153 32 301 166 202
154 33 73 166 214
155 34 142 167 242
156 35 182 169 187
157 36 72 169 217
158 37 120 170 200
159 38 60 172 205
160 39 302 172 214
161 40 12 173 233
162 41 174 173 278
163 42 11 175 238
164 43 152 176 251
165 44 63 176 230
166 45 8 176 272
167 46 134 177 225
168 47 41 178 313
169 48 132 180 228
170 49 242 181 211
171 50 62 181 238
172 51 192 182 221
173 52 249 185 239
174 53 181 186 219
175 54 191 186 225
176 55 122 186 246
177 56 127 188 254
178 57 39 189 327
179 0 23 191 263
180 1 71 191 227
181 58 25 191 323
182 59 70 191 242
183 2 196 192 258
184 3 281 194 329
185 4 263 194 296
186 5 159 195 291
187 6 199 198 279
188 7 250 201 258
189 8 182 201 240
190 9 139 203 269
191 10 63 203 233
192 11 143 204 267
193 12 262 205 298
194 13 129 206 257
195 14 310 207 261
196 15 232 209 332
197 16 121 209 233
198 17 12 209 236
199 18 251 211 268
200 19 252 211 268
201 20 191 212 245
202 21 72 213 246
203 22 182 214 247
204 23 301 215 260
205 24 156 216 294
206 25 11 217 259
207 26 4 218 269
208 27 300 219 267
209 28 5 220 286
210 29 222 220 310
211 30 192 222 258
212 31 180 222 240
213 32 1 225 273
214 33 131 227 257
215 34 91 234 309
216 35 264 234 300
217 36 132 236 272
218 37 70 236 275
219 38 181 241 259
220 39 72 241 292
221 40 346 241 364
222 41 61 243 288
223 42 254 244 286
224 43 120 248 284
225 44 47 251 401
226 45 246 251 293
227 46 73 251 308
228 47 101 257 380
229 48 122 257 314
230 49 294 258 363
231 50 250 258 264
232 51 282 259 367
233 52 60 259 316
234 53 164 259 385
235 54 240 260 287
236 55 130 261 306
237 56 63 263 329
238 57 48 264 444
239 58 242 265 304
240 59 121 265 316
