ID: 60-240-medium-371999259-8
Seed: 371999259

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]
Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [WHCA*, SIPP, BFS]
FailureModel: [None, AgentDelay]

Agents: 60
Tasks: 240
MaxOpenTasksOnShelves: 360

Influx: Burst
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlack: 0.50
MaxSimulationTimeSeconds: 240

FailureProbability: 0.10%
FailureDurationMin: 5
FailureDurationMax: 20
FailureSeed: 371999259

Task Agent Shelf Time Deadline
1 0 263 0 108
2 1 104 0 108
3 2 189 0 66
4 3 331 1 121
5 4 302 3 78
6 5 271 3 99
7 6 138 6 72
8 7 136 6 63
9 8 333 10 121
10 9 261 12 105
11 10 304 14 89
12 11 152 15 84
13 12 208 17 116
14 13 212 17 104
15 14 206 20 101
16 15 295 21 165
17 16 258 25 103
18 17 358 25 178
19 18 69 26 86
20 19 83 26 101
21 20 165 31 127
22 21 56 31 160
23 22 155 32 107
24 23 241 41 74
25 24 209 43 133
26 25 204 47 119
27 26 185 47 77
28 27 197 48 102
29 28 327 48 150
30 29 214 48 117
31 30 82 50 137
32 31 332 50 143
33 32 147 52 130
34 33 67 52 121
35 34 126 53 104
36 35 21 54 141
37 36 296 54 180
38 37 203 55 124
39 38 35 56 149
40 39 78 60 129
41 40 245 61 97
42 41 22 62 158
43 42 83 62 164
44 43 140 66 138
45 44 305 67 103
46 45 326 68 152
47 46 131 70 109
48 47 157 71 155
49 48 274 71 143
50 49 270 74 131
51 50 93 75 162
52 51 253 78 108
53 52 207 78 174
54 53 141 80 161
55 54 264 80 161
56 55 199 81 141
57 56 214 81 153
58 57 96 86 203
59 0 325 87 213
60 1 204 87 183
61 58 67 87 177
62 59 320 87 135
63 2 273 90 195
64 3 150 91 166
65 4 211 95 188
66 5 209 99 198
67 6 127 100 154
68 7 260 101 191
69 8 52 102 192
70 9 152 102 183
71 10 317 103 196
72 11 344 103 241
73 12 35 103 184
74 13 200 104 176
75 14 12 105 129
76 15 29 109 214
77 16 166 112 223
78 17 138 114 159
79 18 141 114 174
80 19 157 117 201
81 20 240 119 152
82 21 112 120 225
83 22 153 120 189
84 23 38 120 207
85 24 224 121 232
86 25 352 122 257
87 26 207 122 194
88 27 195 122 170
89 28 249 122 182
90 29 126 123 159
91 30 98 123 219
92 31 202 123 183
93 32 79 124 175
94 33 103 125 254
95 34 214 125 197
96 35 203 125 182
97 36 23 125 233
98 37 307 125 182
99 38 91 126 195
100 39 150 128 197
101 40 330 128 200
102 41 274 128 197
103 42 219 129 216
104 43 72 129 180
105 44 211 129 180
106 45 32 131 236
107 46 244 131 164
108 47 262 132 186
109 48 204 132 219
110 49 113 132 264
111 50 236 132 240
112 51 271 132 192
113 52 188 132 195
114 53 93 133 223
115 54 310 134 158
116 55 141 134 227
117 56 217 135 216
118 57 181 135 186
119 58 50 135 279
120 59 260 135 189
121 0 125 136 190
122 1 198 136 217
123 2 92 137 203
124 3 126 137 191
125 4 10 137 155
126 5 154 138 219
127 6 281 139 271
128 7 174 140 263
129 8 128 140 185
130 9 108 140 260
131 10 321 140 242
132 11 36 140 209
133 12 184 141 192
134 13 96 141 216
135 14 48 142 265
136 15 6 142 202
137 16 155 143 224
138 17 139 143 191
139 18 273 143 242
140 19 297 145 289
141 20 147 147 213
142 21 222 147 255
143 22 180 149 176
144 23 137 150 186
145 24 200 151 214
146 25 309 152 227
147 26 123 153 177
148 27 30 161 242
149 28 262 162 237
150 29 114 162 267
151 30 350 162 282
152 31 307 163 226
153 32 315 166 223
154 33 143 166 247
155 34 199 167 218
156 35 210 169 220
157 36 144 169 256
158 37 151 170 236
159 38 91 172 241
160 39 308 172 232
161 40 66 173 242
162 41 197 173 203
163 42 51 175 310
164 43 186 176 224
165 44 95 176 263
166 45 29 176 311
167 46 165 177 309
168 47 75 178 232
169 48 163 180 312
170 49 250 181 196
171 50 90 181 259
172 51 212 182 257
173 52 260 185 242
174 53 202 186 258
175 54 211 186 261
176 55 159 186 294
177 56 160 188 299
178 57 76 189 270
179 0 68 191 242
180 1 111 191 299
181 58 67 191 281
182 59 100 191 317
183 2 204 192 279
184 3 275 194 314
185 4 271 194 299
186 5 186 195 249
187 6 208 198 303
188 7 258 201 288
189 8 201 201 273
190 9 185 203 260
191 10 115 203 314
192 11 184 204 246
193 12 270 205 295
194 13 154 206 287
195 14 324 207 306
196 15 236 209 344
197 16 151 209 278
198 17 59 209 329
199 18 265 211 307
200 19 267 211 310
201 20 215 212 293
202 21 138 213 264
203 22 210 214 280
204 23 319 215 293
205 24 199 216 279
206 25 39 217 319
207 26 25 218 308
208 27 311 219 279
209 28 26 220 325
210 29 253 220 262
211 30 233 222 333
212 31 213 222 294
213 32 18 225 285
214 33 195 227 269
215 34 141 234 306
216 35 274 234 309
217 36 178 236 362
218 37 118 236 371
219 38 201 241 295
220 39 132 241 280
221 40 350 241 349
222 41 93 243 321
223 42 264 244 313
224 43 143 248 335
225 44 80 251 326
226 45 253 251 287
227 46 136 251 305
228 47 139 257 311
229 48 150 257 335
230 49 277 258 336
231 50 249 258 300
232 51 273 259 325
233 52 90 259 349
234 53 187 259 310
235 54 215 260 347
236 55 154 261 354
237 56 98 263 371
238 57 82 264 378
239 58 225 265 397
240 59 148 265 373
