ID: 60-240-medium-62194433-0
Seed: 62194433

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 60
Tasks: 240
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 66.48
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 360

Influx: Random
Lambda: 0.90
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 10

Task Agent Shelf Time Deadline
1 0 186 0 69
2 1 33 0 66
3 2 16 1 31
4 3 223 1 130
5 4 42 2 107
6 5 231 3 123
7 6 178 6 144
8 7 285 6 147
9 8 83 7 61
10 9 323 10 121
11 10 109 16 136
12 11 14 16 43
13 12 126 16 61
14 13 77 17 59
15 14 229 17 143
16 15 122 18 48
17 16 103 20 128
18 17 245 20 71
19 18 102 21 132
20 19 325 21 126
21 20 59 22 145
22 21 2 22 76
23 22 326 23 128
24 23 75 24 54
25 24 196 24 78
26 25 67 26 83
27 26 128 30 69
28 27 154 31 100
29 28 44 32 167
30 29 327 35 128
31 30 227 38 152
32 31 316 38 107
33 32 4 40 97
34 33 332 42 135
35 34 342 43 160
36 35 287 43 154
37 36 276 45 135
38 37 79 47 113
39 38 205 49 115
40 39 288 49 169
41 40 171 51 156
42 41 199 51 87
43 42 164 53 182
44 43 301 55 88
45 44 159 56 143
46 45 71 57 111
47 46 285 58 166
48 47 267 59 128
49 48 208 61 160
50 49 319 62 122
51 50 98 64 166
52 51 120 65 113
53 52 83 66 174
54 53 196 68 107
55 54 4 70 163
56 55 142 71 167
57 56 91 71 158
58 57 185 73 136
59 58 50 74 218
60 0 115 77 200
61 59 96 77 182
62 1 216 80 191
63 2 64 80 107
64 3 246 82 160
65 4 62 82 109
66 5 248 84 156
67 6 272 85 193
68 7 218 85 196
69 8 281 86 206
70 9 77 87 135
71 10 74 89 125
72 11 176 89 206
73 12 206 89 182
74 13 339 89 221
75 14 36 90 162
76 15 135 91 139
77 16 279 91 208
78 17 35 95 167
79 18 356 96 252
80 19 282 97 217
81 20 191 99 132
82 21 41 99 222
83 22 280 100 211
84 23 102 100 202
85 24 346 101 242
86 25 75 101 143
87 26 38 102 192
88 27 2 104 164
89 28 69 105 171
90 29 308 106 166
91 30 46 109 256
92 31 252 110 155
93 32 118 110 230
94 33 86 111 213
95 34 68 112 181
96 35 350 115 220
97 36 236 115 229
98 37 81 116 203
99 38 113 120 231
100 39 343 121 238
101 40 24 122 233
102 41 212 123 174
103 42 269 123 207
104 43 52 123 258
105 44 338 123 213
106 45 188 123 183
107 46 226 123 246
108 47 123 124 169
109 48 16 128 212
110 49 327 129 210
111 50 291 129 216
112 51 121 130 187
113 52 302 130 157
114 53 33 130 232
115 54 317 133 184
116 55 88 133 259
117 56 80 133 220
118 57 261 134 209
119 58 340 135 228
120 59 324 136 196
121 0 207 137 245
122 1 146 138 228
123 2 341 138 276
124 3 2 139 175
125 4 93 140 215
126 5 321 143 242
127 6 275 143 260
128 7 110 146 239
129 8 141 147 207
130 9 75 148 190
131 10 161 148 250
132 11 335 149 263
133 12 276 149 263
134 13 233 150 276
135 14 248 152 215
136 15 267 152 257
137 16 29 153 255
138 17 109 154 271
139 18 40 155 266
140 19 133 156 192
141 20 196 157 205
142 21 330 157 250
143 22 56 157 283
144 23 15 157 199
145 24 37 157 256
146 25 17 158 218
147 26 152 166 220
148 27 33 170 260
149 28 93 170 245
150 29 299 172 304
151 30 283 172 286
152 31 310 172 217
153 32 112 173 275
154 33 155 173 251
155 34 166 173 296
156 35 264 174 240
157 36 21 175 277
158 37 104 177 309
159 38 199 178 217
160 39 130 179 212
161 40 221 179 281
162 41 7 180 255
163 42 119 180 327
164 43 36 182 293
165 44 115 184 307
166 45 238 184 307
167 46 285 185 293
168 47 17 186 258
169 48 288 187 310
170 49 50 188 323
171 50 88 189 300
172 51 39 194 326
173 52 68 194 281
174 53 27 195 318
175 54 76 195 273
176 55 319 195 249
177 56 348 198 303
178 57 164 198 342
179 58 176 200 338
180 59 174 202 325
181 0 211 204 303
182 1 239 205 361
183 2 168 205 328
184 3 137 206 272
185 4 226 206 341
186 5 38 206 275
187 6 144 206 287
188 7 303 208 283
189 8 46 208 319
190 9 131 208 250
191 10 294 208 352
192 11 225 208 325
193 12 251 209 272
194 13 89 213 300
195 14 127 217 253
196 15 114 217 322
197 16 107 217 337
198 17 23 219 294
199 18 310 219 279
200 19 73 221 251
201 20 44 221 338
202 21 86 222 312
203 22 193 224 269
204 23 268 225 315
205 24 210 226 292
206 25 172 227 326
207 26 214 227 299
208 27 65 227 284
209 28 332 228 324
210 29 43 228 351
211 30 80 228 303
212 31 190 230 251
213 32 41 233 353
214 33 19 235 313
215 34 5 235 307
216 35 28 236 344
217 36 97 238 337
218 37 142 238 316
219 38 295 239 350
220 39 320 240 312
221 40 143 240 324
222 41 298 241 358
223 42 209 242 338
224 43 13 243 309
225 44 182 244 271
226 45 55 246 396
227 46 260 247 304
228 47 122 247 289
229 48 318 248 308
230 49 132 248 293
231 50 296 253 355
232 51 126 253 325
233 52 21 256 370
234 53 140 256 328
235 54 358 256 382
236 55 104 258 408
237 56 316 258 294
238 57 172 263 392
239 58 61 264 336
240 59 249 264 315
