ID: 60-240-medium-62194433-1
Seed: 62194433

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 60
Tasks: 240
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 66.48
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 360

Influx: Random
Lambda: 0.90
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 10

Task Agent Shelf Time Deadline
1 0 158 0 108
2 1 12 0 27
3 2 9 1 43
4 3 191 1 61
5 4 18 2 44
6 5 192 3 54
7 6 132 6 54
8 7 251 6 72
9 8 63 7 25
10 9 301 10 79
11 10 71 16 43
12 11 1 16 43
13 12 87 16 100
14 13 61 17 44
15 14 190 17 47
16 15 83 18 93
17 16 72 20 44
18 17 227 20 137
19 18 73 21 54
20 19 302 21 81
21 20 50 22 118
22 21 0 22 64
23 22 300 23 74
24 23 62 24 54
25 24 180 24 51
26 25 60 26 56
27 26 120 30 39
28 27 130 31 52
29 28 13 32 83
30 29 301 35 74
31 30 190 38 62
32 31 264 38 116
33 32 0 40 79
34 33 302 42 90
35 34 310 43 85
36 35 250 43 64
37 36 241 45 75
38 37 63 47 104
39 38 180 49 58
40 39 251 49 85
41 40 131 51 84
42 41 175 51 159
43 42 122 53 104
44 43 252 55 88
45 44 123 56 98
46 45 60 57 111
47 46 250 58 76
48 47 241 59 74
49 48 182 61 106
50 49 301 62 89
51 50 71 64 109
52 51 101 65 206
53 52 63 66 138
54 53 181 68 101
55 54 0 70 145
56 55 128 71 149
57 56 72 71 125
58 57 180 73 115
59 58 32 74 188
60 0 120 77 116
61 59 73 77 137
62 1 192 80 143
63 2 60 80 95
64 3 241 82 145
65 4 58 82 196
66 5 240 84 132
67 6 251 85 154
68 7 189 85 154
69 8 252 86 146
70 9 61 87 114
71 10 62 89 116
72 11 139 89 143
73 12 181 89 131
74 13 310 89 152
75 14 12 90 114
76 15 120 91 115
77 16 250 91 139
78 17 11 95 119
79 18 351 96 237
80 19 242 97 145
81 20 130 99 111
82 21 13 99 147
83 22 240 100 139
84 23 70 100 115
85 24 329 101 215
86 25 61 101 140
87 26 12 102 138
88 27 0 104 152
89 28 67 105 165
90 29 287 106 223
91 30 60 109 148
92 31 241 110 143
93 32 120 110 125
94 33 72 111 156
95 34 65 112 172
96 35 332 115 196
97 36 201 115 181
98 37 63 116 173
99 38 87 120 216
100 39 315 121 181
101 40 11 122 179
102 41 190 123 132
103 42 250 123 147
104 43 35 123 231
105 44 310 123 147
106 45 166 123 261
107 46 191 123 150
108 47 99 124 226
109 48 7 128 224
110 49 301 129 156
111 50 251 129 144
112 51 73 130 196
113 52 255 130 163
114 53 12 130 193
115 54 300 133 154
116 55 70 133 190
117 56 64 133 202
118 57 241 134 173
119 58 313 135 168
120 59 302 136 154
121 0 181 137 191
122 1 122 138 180
123 2 319 138 237
124 3 0 139 163
125 4 71 140 173
126 5 302 143 209
127 6 251 143 212
128 7 95 146 224
129 8 125 147 183
130 9 61 148 175
131 10 132 148 190
132 11 310 149 206
133 12 248 149 224
134 13 208 150 246
135 14 224 152 263
136 15 241 152 203
137 16 11 153 186
138 17 72 154 169
139 18 13 155 200
140 19 121 156 177
141 20 181 157 181
142 21 301 157 214
143 22 48 157 298
144 23 1 157 196
145 24 24 157 256
146 25 10 158 197
147 26 130 166 172
148 27 12 170 221
149 28 72 170 206
150 29 256 172 223
151 30 251 172 217
152 31 290 172 277
153 32 97 173 254
154 33 130 173 200
155 34 132 173 203
156 35 242 174 198
157 36 10 175 229
158 37 84 177 273
159 38 182 178 199
160 39 121 179 224
161 40 192 179 203
162 41 0 180 228
163 42 112 180 306
164 43 53 182 320
165 44 91 184 259
166 45 227 184 313
167 46 252 185 215
168 47 11 186 240
169 48 251 187 214
170 49 61 188 251
171 50 72 189 237
172 51 36 194 317
173 52 63 194 266
174 53 12 195 258
175 54 71 195 258
176 55 301 195 216
177 56 328 198 267
178 57 144 198 306
179 58 173 200 329
180 59 180 202 232
181 0 192 204 270
182 1 240 205 265
183 2 132 205 247
184 3 121 206 245
185 4 213 206 305
186 5 13 206 224
187 6 130 206 242
188 7 300 208 274
189 8 40 208 295
190 9 120 208 238
191 10 270 208 298
192 11 222 208 316
193 12 242 209 266
194 13 62 213 243
195 14 73 217 238
196 15 71 217 241
197 16 70 217 235
198 17 10 219 240
199 18 287 219 357
200 19 60 221 245
201 20 13 221 254
202 21 72 222 255
203 22 180 224 251
204 23 247 225 276
205 24 184 226 265
206 25 132 227 254
207 26 190 227 245
208 27 57 227 365
209 28 304 228 285
210 29 12 228 267
211 30 63 228 282
212 31 181 230 251
213 32 13 233 278
214 33 10 235 286
215 34 0 235 286
216 35 34 236 323
217 36 73 238 289
218 37 130 238 265
219 38 268 239 314
220 39 301 240 279
221 40 128 240 303
222 41 256 241 280
223 42 191 242 269
224 43 11 243 303
225 44 170 244 340
226 45 61 246 309
227 46 242 247 274
228 47 120 247 277
229 48 300 248 275
230 49 116 248 389
231 50 254 253 277
232 51 96 253 364
233 52 10 256 322
234 53 121 256 301
235 54 356 256 376
236 55 73 258 324
237 56 301 258 270
238 57 156 263 368
239 58 62 264 339
240 59 241 264 291
