ID: 60-240-medium-62194433-2
Seed: 62194433

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 60
Tasks: 240
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 66.48
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 360

Influx: Random
Lambda: 0.90
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 10

Task Agent Shelf Time Deadline
1 0 190 0 54
2 1 55 0 108
3 2 28 1 76
4 3 207 1 106
5 4 69 2 50
6 5 211 3 87
7 6 185 6 66
8 7 262 6 102
9 8 109 7 115
10 9 304 10 88
11 10 138 16 76
12 11 24 16 88
13 12 144 16 91
14 13 97 17 95
15 14 210 17 83
16 15 142 18 84
17 16 130 20 44
18 17 217 20 110
19 18 129 21 69
20 19 308 21 99
21 20 84 22 91
22 21 5 22 85
23 22 309 23 101
24 23 94 24 87
25 24 198 24 84
26 25 91 26 92
27 26 147 30 102
28 27 160 31 127
29 28 70 32 62
30 29 313 35 89
31 30 211 38 107
32 31 295 38 164
33 32 10 40 76
34 33 319 42 120
35 34 329 43 145
36 35 264 43 109
37 36 259 45 108
38 37 105 47 182
39 38 201 49 103
40 39 265 49 124
41 40 176 51 171
42 41 198 51 84
43 42 161 53 173
44 43 273 55 127
45 44 157 56 137
46 45 92 57 150
47 46 262 58 121
48 47 246 59 89
49 48 202 61 142
50 49 300 62 86
51 50 128 64 127
52 51 142 65 161
53 52 108 66 225
54 53 199 68 116
55 54 9 70 178
56 55 152 71 158
57 56 124 71 128
58 57 190 73 112
59 58 79 74 161
60 0 141 77 155
61 59 129 77 152
62 1 208 80 188
63 2 89 80 158
64 3 221 82 205
65 4 86 82 157
66 5 220 84 192
67 6 257 85 172
68 7 207 85 184
69 8 262 86 173
70 9 99 87 177
71 10 95 89 164
72 11 188 89 143
73 12 202 89 170
74 13 327 89 206
75 14 58 90 204
76 15 150 91 154
77 16 261 91 175
78 17 55 95 203
79 18 352 96 240
80 19 260 97 175
81 20 196 99 147
82 21 65 99 150
83 22 259 100 175
84 23 130 100 109
85 24 335 101 212
86 25 94 101 176
87 26 62 102 135
88 27 5 104 173
89 28 91 105 174
90 29 279 106 202
91 30 71 109 148
92 31 218 110 197
93 32 140 110 161
94 33 114 111 234
95 34 90 112 184
96 35 340 115 217
97 36 213 115 184
98 37 107 116 257
99 38 141 120 186
100 39 332 121 208
101 40 35 122 227
102 41 204 123 189
103 42 254 123 165
104 43 78 123 192
105 44 326 123 198
106 45 195 123 165
107 46 211 123 186
108 47 145 124 211
109 48 26 128 257
110 49 315 129 177
111 50 266 129 198
112 51 142 130 226
113 52 273 130 193
114 53 54 130 271
115 54 295 133 244
116 55 112 133 268
117 56 99 133 244
118 57 243 134 179
119 58 330 135 195
120 59 309 136 175
121 0 200 137 224
122 1 152 138 225
123 2 331 138 249
124 3 4 139 181
125 4 116 140 260
126 5 305 143 218
127 6 258 143 233
128 7 137 146 206
129 8 151 147 216
130 9 93 148 220
131 10 169 148 274
132 11 323 149 248
133 12 259 149 236
134 13 213 150 240
135 14 223 152 260
136 15 249 152 227
137 16 47 153 285
138 17 136 154 193
139 18 65 155 203
140 19 148 156 234
141 20 199 157 214
142 21 320 157 247
143 22 81 157 229
144 23 27 157 250
145 24 61 157 199
146 25 30 158 233
147 26 158 166 238
148 27 55 170 302
149 28 127 170 218
150 29 270 172 235
151 30 261 172 244
152 31 280 172 274
153 32 139 173 212
154 33 156 173 254
155 34 170 173 269
156 35 240 174 192
157 36 32 175 271
158 37 135 177 219
159 38 200 178 229
160 39 146 179 275
161 40 207 179 263
162 41 14 180 237
163 42 141 180 264
164 43 60 182 230
165 44 138 184 232
166 45 214 184 259
167 46 262 185 248
168 47 29 186 309
169 48 263 187 259
170 49 77 188 260
171 50 108 189 336
172 51 59 194 362
173 52 90 194 284
174 53 40 195 327
175 54 94 195 303
176 55 301 195 216
177 56 336 198 270
178 57 171 198 324
179 58 185 200 260
180 59 183 202 247
181 0 203 204 300
182 1 213 205 307
183 2 170 205 307
184 3 150 206 281
185 4 210 206 290
186 5 60 206 218
187 6 152 206 290
188 7 273 208 316
189 8 67 208 238
190 9 142 208 280
191 10 270 208 298
192 11 209 208 301
193 12 222 209 326
194 13 109 213 336
195 14 141 217 271
196 15 137 217 271
197 16 129 217 265
198 17 34 219 288
199 18 282 219 342
200 19 91 221 281
201 20 65 221 257
202 21 107 222 351
203 22 196 224 278
204 23 250 225 258
205 24 202 226 295
206 25 183 227 260
207 26 205 227 293
208 27 82 227 311
209 28 321 228 312
210 29 62 228 264
211 30 96 228 318
212 31 194 230 269
213 32 61 233 269
214 33 30 235 322
215 34 9 235 319
216 35 42 236 362
217 36 128 238 301
218 37 152 238 307
219 38 267 239 311
220 39 298 240 369
221 40 154 240 318
222 41 271 241 301
223 42 201 242 314
224 43 22 243 351
225 44 187 244 286
226 45 79 246 324
227 46 240 247 262
228 47 143 247 328
229 48 294 248 356
230 49 149 248 359
231 50 268 253 328
232 51 146 253 361
233 52 32 256 364
234 53 153 256 334
235 54 357 256 379
236 55 135 258 318
237 56 293 258 351
238 57 187 263 332
239 58 90 264 360
240 59 221 264 375
