ID: 60-240-medium-62194433-3
Seed: 62194433

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 60
Tasks: 240
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 66.48
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 360

Influx: Poisson
Lambda: 0.90
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 10

Task Agent Shelf Time Deadline
1 0 77 0 57
2 1 225 1 136
3 2 243 1 61
4 3 53 1 103
5 4 211 3 96
6 5 118 6 123
7 6 192 11 71
8 7 18 12 57
9 8 19 20 59
10 9 212 21 114
11 10 162 21 126
12 11 127 22 61
13 12 133 22 67
14 13 17 24 72
15 14 177 24 141
16 15 137 25 79
17 16 92 25 85
18 17 51 26 122
19 18 89 28 124
20 19 131 28 58
21 20 60 29 44
22 21 190 32 65
23 22 292 32 158
24 23 83 33 102
25 24 4 34 97
26 25 185 36 75
27 26 156 36 102
28 27 324 41 137
29 28 90 41 107
30 29 215 42 114
31 30 140 47 110
32 31 321 48 129
33 32 214 50 116
34 33 335 51 153
35 34 241 54 84
36 35 338 55 154
37 36 199 55 106
38 37 179 56 182
39 38 47 62 206
40 39 256 67 118
41 40 232 68 164
42 41 286 70 172
43 42 177 71 200
44 43 206 72 156
45 44 49 72 228
46 45 353 74 194
47 46 235 74 185
48 47 7 75 156
49 48 90 76 166
50 49 348 78 198
51 50 148 79 178
52 51 351 79 187
53 52 354 79 193
54 53 62 80 140
55 54 230 81 189
56 55 138 81 150
57 56 41 82 226
58 57 50 82 229
59 58 129 84 168
60 59 328 84 156
61 0 189 86 164
62 1 170 88 199
63 2 140 90 153
64 3 252 90 165
65 4 226 91 226
66 5 20 91 139
67 6 207 92 194
68 7 185 93 150
69 8 318 95 185
70 9 99 96 186
71 10 208 98 197
72 11 39 98 176
73 12 186 99 156
74 13 342 102 240
75 14 1 103 133
76 15 212 103 190
77 16 305 106 178
78 17 345 106 241
79 18 332 107 215
80 19 215 108 198
81 20 114 109 205
82 21 46 111 249
83 22 242 111 156
84 23 4 113 161
85 24 198 115 175
86 25 177 115 229
87 26 203 117 177
88 27 188 117 165
89 28 101 119 233
90 29 11 119 155
91 30 126 120 171
92 31 181 122 143
93 32 236 123 231
94 33 246 123 171
95 34 103 125 251
96 35 68 125 185
97 36 62 125 182
98 37 269 126 213
99 38 12 128 176
100 39 95 130 226
101 40 96 132 228
102 41 248 133 169
103 42 328 133 226
104 43 347 133 256
105 44 353 134 245
106 45 156 134 227
107 46 273 136 205
108 47 82 136 226
109 48 235 138 255
110 49 307 138 183
111 50 299 140 251
112 51 346 141 255
113 52 285 141 255
114 53 348 141 249
115 54 207 144 246
116 55 44 145 307
117 56 316 146 182
118 57 0 147 225
119 58 237 147 276
120 59 140 148 226
121 0 136 150 216
122 1 240 150 210
123 2 60 151 166
124 3 278 153 282
125 4 268 153 270
126 5 35 153 213
127 6 217 156 267
128 7 298 157 316
129 8 356 158 314
130 9 133 160 208
131 10 259 160 247
132 11 182 162 198
133 12 188 162 225
134 13 337 162 288
135 14 111 163 250
136 15 279 164 284
137 16 324 165 270
138 17 262 166 244
139 18 311 167 236
140 19 216 168 261
141 20 287 168 294
142 21 143 168 237
143 22 322 169 262
144 23 81 170 233
145 24 221 174 276
146 25 245 175 226
147 26 344 176 299
148 27 345 177 312
149 28 78 177 231
150 29 140 178 226
151 30 70 178 214
152 31 357 180 324
153 32 21 181 265
154 33 300 182 224
155 34 153 182 251
156 35 172 184 277
157 36 45 189 339
158 37 10 191 242
159 38 38 193 295
160 39 267 194 275
161 40 60 196 241
162 41 347 197 314
163 42 240 197 218
164 43 134 197 242
165 44 331 197 266
166 45 132 198 243
167 46 358 199 331
168 47 91 201 279
169 48 158 202 304
170 49 33 206 314
171 50 167 208 340
172 51 170 210 327
173 52 171 210 327
174 53 111 212 332
175 54 194 213 261
176 55 39 214 346
177 56 190 214 238
178 57 326 215 293
179 58 218 216 312
180 0 344 217 376
181 59 244 217 253
182 1 77 218 272
183 2 152 218 296
184 3 4 219 261
185 4 203 220 310
186 5 162 222 324
187 6 156 222 318
188 7 336 224 353
189 8 274 224 326
190 9 185 225 282
191 10 6 225 276
192 11 202 225 297
193 12 213 226 319
194 13 144 228 300
195 14 90 229 277
196 15 181 229 268
197 16 100 230 323
198 17 348 230 374
199 18 71 232 259
200 19 205 232 313
201 20 345 232 364
202 21 318 233 320
203 22 54 233 353
204 23 325 234 327
205 24 8 236 311
206 25 327 237 342
207 26 74 237 267
208 27 5 238 307
209 28 266 239 326
210 29 249 239 290
211 30 168 240 369
212 31 163 240 351
213 32 182 241 256
214 33 2 241 307
215 34 112 241 355
216 35 69 242 305
217 36 105 243 381
218 37 212 244 307
219 38 242 245 266
220 39 15 246 318
221 40 146 248 341
222 41 217 250 316
223 42 164 250 379
224 43 304 252 294
225 44 265 255 315
226 45 63 255 324
227 46 252 256 286
228 47 324 257 323
229 48 214 257 335
230 49 196 258 303
231 50 359 259 382
232 51 137 260 326
233 52 123 261 321
234 53 287 261 372
235 54 352 263 371
236 55 330 263 320
237 56 213 263 332
238 57 141 264 363
239 58 155 264 363
240 59 199 265 319
