ID: 60-240-medium-62194433-4
Seed: 62194433

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 60
Tasks: 240
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 66.48
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 360

Influx: Poisson
Lambda: 0.90
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 10

Task Agent Shelf Time Deadline
1 0 62 0 33
2 1 191 1 61
3 2 223 1 121
4 3 35 1 73
5 4 182 3 54
6 5 75 6 42
7 6 154 11 101
8 7 10 12 33
9 8 10 20 32
10 9 182 21 69
11 10 130 21 51
12 11 99 22 100
13 12 116 22 136
14 13 10 24 51
15 14 138 24 72
16 15 120 25 49
17 16 70 25 43
18 17 36 26 101
19 18 63 28 70
20 19 121 28 49
21 20 54 29 137
22 21 180 32 62
23 22 253 32 89
24 23 62 33 63
25 24 0 34 79
26 25 157 36 114
27 26 130 36 42
28 27 301 41 92
29 28 71 41 74
30 29 190 42 57
31 30 122 47 86
32 31 300 48 90
33 32 182 50 65
34 33 310 51 96
35 34 192 54 84
36 35 302 55 91
37 36 151 55 124
38 37 131 56 86
39 38 17 62 125
40 39 240 67 91
41 40 191 68 89
42 41 252 70 97
43 42 132 71 113
44 43 181 72 105
45 44 15 72 135
46 45 343 74 185
47 46 192 74 104
48 47 1 75 138
49 48 66 76 157
50 49 330 78 141
51 50 121 79 121
52 51 337 79 169
53 52 344 79 184
54 53 60 80 128
55 54 225 81 213
56 55 120 81 129
57 56 13 82 151
58 57 49 82 265
59 58 122 84 147
60 59 306 84 114
61 0 182 86 143
62 1 169 88 223
63 2 130 90 120
64 3 241 90 153
65 4 208 91 196
66 5 11 91 103
67 6 191 92 149
68 7 180 93 135
69 8 301 95 155
70 9 67 96 141
71 10 181 98 140
72 11 12 98 119
73 12 133 99 144
74 13 322 102 204
75 14 0 103 124
76 15 190 103 142
77 16 280 106 223
78 17 328 106 214
79 18 310 107 167
80 19 177 108 228
81 20 72 109 127
82 21 13 111 159
83 22 204 111 186
84 23 0 113 143
85 24 180 115 142
86 25 132 115 142
87 26 182 117 138
88 27 164 117 231
89 28 71 119 152
90 29 10 119 152
91 30 118 120 252
92 31 162 122 230
93 32 206 123 186
94 33 235 123 237
95 34 73 125 170
96 35 62 125 167
