ID: 60-240-medium-62194433-5
Seed: 62194433

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 60
Tasks: 240
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 66.48
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 360

Influx: Poisson
Lambda: 0.90
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 10

Task Agent Shelf Time Deadline
1 0 99 0 99
2 1 208 1 109
3 2 215 1 100
4 3 81 1 64
5 4 203 3 93
6 5 141 6 69
7 6 195 11 80
8 7 30 12 69
9 8 31 20 71
10 9 204 21 111
11 10 163 21 129
12 11 145 22 91
13 12 149 22 112
14 13 27 24 117
15 14 185 24 66
16 15 150 25 88
17 16 122 25 52
18 17 79 26 62
19 18 120 28 49
20 19 144 28 94
21 20 85 29 101
22 21 192 32 77
23 22 267 32 128
24 23 109 33 156
25 24 8 34 109
26 25 191 36 72
27 26 159 36 111
28 27 306 41 107
29 28 122 41 74
30 29 205 42 105
31 30 152 47 113
32 31 302 48 96
33 32 203 50 104
34 33 322 51 135
35 34 215 54 129
36 35 324 55 133
37 36 198 55 103
38 37 186 56 98
39 38 77 62 113
40 39 235 67 175
41 40 212 68 128
42 41 263 70 127
43 42 186 71 122
44 43 201 72 141
45 44 78 72 132
46 45 347 74 197
47 46 211 74 137
48 47 15 75 141
49 48 120 76 121
50 49 338 78 171
51 50 153 79 154
52 51 343 79 184
53 52 348 79 196
54 53 86 80 188
55 54 213 81 162
56 55 150 81 162
57 56 67 82 160
58 57 77 82 166
59 58 143 84 186
60 59 320 84 132
61 0 190 86 140
62 1 180 88 136
63 2 151 90 165
64 3 227 90 231
65 4 210 91 175
66 5 31 91 139
67 6 202 92 179
68 7 189 93 162
69 8 298 95 245
70 9 127 96 147
71 10 203 98 182
72 11 65 98 125
73 12 193 99 156
74 13 332 102 213
75 14 2 103 136
76 15 205 103 190
77 16 277 106 217
78 17 336 106 217
79 18 321 107 203
80 19 206 108 192
81 20 139 109 154
82 21 70 111 138
83 22 217 111 204
84 23 9 113 176
85 24 197 115 172
86 25 180 115 139
87 26 198 117 165
88 27 187 117 162
89 28 127 119 167
90 29 20 119 191
91 30 142 120 195
92 31 185 122 155
93 32 212 123 183
94 33 216 123 204
95 34 129 125 185
96 35 90 125 188
97 36 83 125 221
98 37 249 126 177
99 38 21 128 218
100 39 126 130 190
101 40 128 132 195
102 41 218 133 202
103 42 313 133 184
104 43 334 133 220
105 44 346 134 245
106 45 158 134 233
107 46 254 136 172
108 47 110 136 247
109 48 211 138 207
110 49 276 138 213
111 50 272 140 194
112 51 337 141 231
113 52 263 141 213
114 53 338 141 222
115 54 202 144 231
116 55 72 145 208
117 56 297 146 251
118 57 0 147 225
119 58 213 147 228
120 59 150 148 223
121 0 149 150 252
122 1 215 150 258
123 2 85 151 217
124 3 260 153 249
125 4 249 153 237
126 5 56 153 252
127 6 204 156 249
128 7 273 157 265
129 8 352 158 302
130 9 145 160 241
131 10 239 160 307
132 11 187 162 213
133 12 192 162 216
134 13 327 162 279
135 14 137 163 208
136 15 261 164 251
137 16 313 165 240
138 17 246 166 220
139 18 291 167 296
140 19 207 168 255
141 20 268 168 261
142 21 152 168 237
143 22 311 169 232
144 23 100 170 260
145 24 208 174 261
146 25 218 175 268
147 26 334 176 272
148 27 335 177 285
149 28 96 177 261
150 29 150 178 223
151 30 91 178 253
152 31 354 180 315
153 32 32 181 259
154 33 275 182 272
155 34 160 182 281
156 35 185 184 211
157 36 72 189 237
158 37 18 191 266
159 38 64 193 244
160 39 250 194 221
161 40 85 196 298
162 41 338 197 290
163 42 214 197 269
164 43 150 197 266
165 44 321 197 257
166 45 149 198 309
167 46 356 199 325
168 47 126 201 255
169 48 159 202 307
170 49 56 206 359
171 50 175 208 325
172 51 178 210 351
173 52 179 210 351
174 53 139 212 272
175 54 197 213 270
176 55 63 214 289
177 56 195 214 253
178 57 314 215 254
179 58 206 216 315
180 0 333 217 346
181 59 218 217 304
182 1 97 218 308
183 2 156 218 308
184 3 8 219 273
185 4 201 220 304
186 5 160 222 318
187 6 155 222 315
188 7 325 224 341
189 8 257 224 299
190 9 189 225 294
191 10 12 225 255
192 11 202 225 297
193 12 205 226 316
194 13 151 228 300
195 14 118 229 337
196 15 186 229 283
197 16 127 230 272
198 17 336 230 341
199 18 92 232 298
200 19 200 232 298
201 20 335 232 337
202 21 306 233 305
203 22 80 233 296
204 23 316 234 303
205 24 13 236 287
206 25 314 237 306
207 26 93 237 300
208 27 7 238 313
209 28 253 239 290
210 29 230 239 326
211 30 171 240 339
212 31 164 240 354
213 32 187 241 271
214 33 4 241 313
215 34 138 241 289
216 35 91 242 308
217 36 136 243 291
218 37 209 244 331
219 38 223 245 341
220 39 23 246 357
221 40 156 248 332
222 41 208 250 328
223 42 183 250 292
224 43 276 252 333
225 44 248 255 288
226 45 88 255 375
227 46 225 256 376
228 47 311 257 287
229 48 205 257 347
230 49 200 258 324
231 50 358 259 379
232 51 152 260 347
233 52 143 261 357
234 53 266 261 333
235 54 345 263 371
236 55 321 263 320
237 56 206 263 350
238 57 153 264 360
239 58 163 264 402
240 59 199 265 319
