ID: 60-240-medium-62194433-6
Seed: 62194433

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 60
Tasks: 240
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 66.48
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 360

Influx: Burst
Lambda: 0.90
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53
BurstAmplitude: 3.00

SpatialDistribution: Uniform
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 10

Task Agent Shelf Time Deadline
1 0 123 0 48
2 1 168 1 133
3 2 27 1 73
4 3 356 1 172
5 4 125 2 50
6 5 159 2 98
7 6 194 2 68
8 7 118 6 129
9 8 269 7 115
10 9 77 9 57
11 10 184 12 63
12 11 18 12 51
13 12 163 12 120
14 13 172 12 123
15 14 297 13 154
16 15 231 14 134
17 16 330 14 110
18 17 207 16 97
19 18 185 18 66
20 19 285 21 150
21 20 64 23 56
22 21 102 24 138
23 22 41 26 146
24 23 164 26 122
25 24 157 26 107
26 25 131 27 51
27 26 5 29 83
28 27 101 30 147
29 28 81 32 110
30 29 151 32 80
31 30 358 33 183
32 31 225 38 143
33 32 191 40 61
34 33 315 40 106
35 34 52 41 167
36 35 136 44 77
37 36 194 44 80
38 37 113 45 165
39 38 152 47 107
40 39 106 48 192
41 40 40 48 177
42 41 266 49 115
43 42 143 51 141
44 43 321 53 122
45 44 220 54 141
46 45 290 55 154
47 46 283 56 158
48 47 77 57 117
49 48 324 58 133
50 49 70 58 109
51 50 171 59 164
52 51 259 60 108
53 52 286 60 177
54 53 1 63 132
55 54 89 64 196
56 55 340 64 154
57 56 6 67 154
58 57 74 68 143
59 58 114 68 212
60 59 158 70 169
61 0 79 71 134
62 1 16 71 110
63 2 132 73 115
64 3 63 73 106
65 4 157 74 173
66 5 326 76 190
67 6 226 77 212
68 7 263 79 178
69 8 126 83 122
70 9 316 84 177
71 10 348 87 246
72 11 82 89 143
73 12 357 90 255
74 13 285 91 226
75 14 337 91 208
76 15 150 95 158
77 16 132 99 135
78 17 315 100 172
79 18 248 100 169
80 19 57 101 227
81 20 268 103 196
82 21 276 104 209
83 22 8 105 174
84 23 206 105 177
85 24 327 111 219
86 25 71 115 145
87 26 131 117 132
88 27 34 118 211
89 28 172 119 215
90 29 340 119 227
91 30 240 120 153
92 31 216 120 201
93 32 314 121 175
94 33 224 122 230
95 34 29 122 242
96 35 259 124 178
97 36 344 124 247
98 37 232 124 223
99 38 291 125 224
100 39 210 125 182
101 40 325 126 210
102 41 95 127 211
103 42 112 127 253
104 43 332 127 208
105 44 83 127 217
106 45 24 128 248
107 46 10 128 188
108 47 352 128 233
109 48 323 129 201
110 49 308 129 177
111 50 52 130 262
112 51 274 130 199
113 52 211 130 199
114 53 139 130 190
115 54 124 130 199
116 55 228 131 269
117 56 333 131 194
118 57 39 131 269
119 58 25 131 263
120 0 249 132 222
121 1 167 132 261
122 2 105 132 234
123 59 339 132 210
124 3 343 133 286
125 4 260 133 226
126 5 342 134 272
127 6 312 135 219
128 7 250 135 192
129 8 148 135 216
130 9 264 136 238
131 10 306 137 218
132 11 328 137 251
133 12 189 138 204
134 13 329 138 261
135 14 53 139 238
136 15 192 139 190
137 16 91 140 197
138 17 1 140 173
139 18 101 141 249
140 19 151 141 207
141 20 77 142 175
142 21 353 142 286
143 22 259 142 217
144 23 109 142 265
145 24 104 142 265
146 25 195 142 190
147 26 347 144 276
148 27 146 145 229
149 28 87 146 242
150 29 200 146 194
151 30 203 146 212
152 31 110 146 251
153 32 230 149 233
154 33 107 153 294
155 34 9 153 237
156 35 193 154 178
157 36 187 159 207
158 37 291 159 267
159 38 288 159 270
160 39 217 162 240
161 40 279 164 257
162 41 132 164 191
163 42 241 166 190
164 43 287 167 278
165 44 325 169 241
166 45 95 172 274
167 46 133 172 217
168 47 141 173 248
169 48 345 174 288
170 49 43 175 328
171 50 38 176 290
172 51 49 178 355
173 52 134 183 237
174 53 349 184 295
175 54 272 184 250
176 55 183 188 239
177 56 124 190 247
178 57 66 192 282
179 58 220 195 306
180 59 225 195 318
181 0 347 197 365
182 1 233 198 336
183 2 355 201 360
184 3 248 201 285
185 4 315 202 295
186 5 216 204 303
187 6 252 207 279
188 7 88 207 285
189 8 138 208 262
190 9 251 208 274
191 10 205 211 301
192 11 39 212 290
193 12 337 214 343
194 13 63 215 248
195 14 135 216 255
196 15 290 216 339
197 16 297 217 364
198 17 217 217 307
199 18 75 219 258
200 19 79 219 267
201 20 352 219 351
202 21 359 221 383
203 22 338 222 342
204 23 124 228 252
205 24 262 229 310
206 25 335 229 337
207 26 194 231 267
208 27 71 231 267
209 28 210 232 292
210 29 348 232 364
211 30 323 233 323
212 31 197 233 281
213 32 226 234 333
214 33 26 237 351
215 34 91 237 312
216 35 165 238 349
217 36 19 238 319
218 37 211 243 303
219 38 76 244 292
220 39 176 246 369
221 40 62 246 303
222 41 29 246 363
223 42 286 250 361
224 43 49 252 417
225 44 294 253 355
226 45 50 253 388
227 46 133 255 300
228 47 309 255 300
229 48 41 256 406
230 49 143 256 349
231 50 42 256 397
232 51 100 258 390
233 52 121 258 312
234 53 276 258 321
235 54 218 258 354
236 55 242 259 295
237 56 247 259 301
238 57 65 260 347
239 58 221 261 381
240 59 125 263 326
