ID: 60-240-medium-62194433-7
Seed: 62194433

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 60
Tasks: 240
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 66.48
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 360

Influx: Burst
Lambda: 0.90
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53
BurstAmplitude: 3.00

SpatialDistribution: Hotspot
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 10

Task Agent Shelf Time Deadline
1 0 91 0 75
2 1 131 1 49
3 2 11 1 16
4 3 351 1 157
5 4 100 2 95
6 5 130 2 29
7 6 181 2 50
8 7 73 6 42
9 8 246 7 70
10 9 61 9 36
11 10 167 12 132
12 11 10 12 27
13 12 132 12 54
14 13 155 12 96
15 14 271 13 100
16 15 211 14 98
17 16 302 14 77
18 17 190 16 43
19 18 141 18 78
20 19 250 21 66
21 20 59 23 146
22 21 70 24 51
23 22 13 26 71
24 23 131 26 44
25 24 130 26 44
26 25 117 27 147
27 26 0 29 62
28 27 72 30 69
29 28 63 32 80
30 29 131 32 44
31 30 356 33 177
32 31 192 38 71
33 32 180 40 49
34 33 300 40 82
35 34 23 41 143
36 35 120 44 62
37 36 173 44 155
38 37 73 45 93
39 38 130 47 65
40 39 71 48 96
41 40 13 48 111
42 41 242 49 67
43 42 121 51 99
44 43 301 53 86
45 44 190 54 66
46 45 252 55 88
47 46 250 56 74
48 47 62 57 111
49 48 302 58 91
50 49 60 58 112
51 50 140 59 128
52 51 239 60 192
53 52 242 60 93
54 53 0 63 123
55 54 71 64 127
56 55 310 64 85
57 56 1 67 139
58 57 70 68 131
59 58 120 68 119
60 59 133 70 118
61 0 72 71 113
62 1 11 71 95
63 2 131 73 112
64 3 63 73 106
65 4 180 74 119
66 5 302 76 142
67 6 217 77 188
68 7 245 79 148
69 8 121 83 107
70 9 300 84 150
71 10 327 87 207
72 11 62 89 107
73 12 351 90 237
74 13 250 91 142
75 14 310 91 145
76 15 121 95 122
77 16 100 99 192
78 17 285 100 223
79 18 198 100 166
80 19 40 101 209
81 20 240 103 136
82 21 241 104 149
83 22 1 105 153
84 23 180 105 123
85 24 302 111 168
86 25 61 115 154
87 26 120 117 126
88 27 13 118 172
89 28 158 119 197
90 29 310 119 158
91 30 205 120 192
92 31 190 120 141
93 32 281 121 217
94 33 191 122 152
95 34 11 122 173
96 35 241 124 145
97 36 323 124 208
98 37 192 124 151
99 38 252 125 155
100 39 180 125 149
101 40 301 126 162
102 41 71 127 163
103 42 73 127 184
104 43 300 127 157
105 44 63 127 181
106 45 10 128 191
107 46 1 128 200
108 47 345 128 233
109 48 290 129 225
110 49 258 129 174
111 50 60 130 175
112 51 249 130 187
113 52 182 130 175
114 53 122 130 178
115 54 120 130 181
116 55 229 131 272
117 56 312 131 155
118 57 39 131 269
119 58 15 131 218
120 0 241 132 198
121 1 157 132 234
122 2 104 132 231
123 59 321 132 183
124 3 328 133 265
125 4 242 133 196
126 5 329 134 257
127 6 302 135 210
128 7 240 135 189
129 8 132 135 171
130 9 250 136 193
131 10 300 137 200
132 11 310 137 194
133 12 180 138 177
134 13 309 138 225
135 14 27 139 223
136 15 170 139 238
137 16 70 140 158
138 17 0 140 164
139 18 72 141 171
140 19 131 141 171
141 20 62 142 169
142 21 350 142 271
143 22 251 142 193
144 23 91 142 196
145 24 83 142 226
146 25 187 142 187
147 26 339 144 255
148 27 121 145 178
149 28 63 146 194
150 29 182 146 164
151 30 181 146 170
152 31 71 146 182
153 32 191 149 170
154 33 62 153 207
155 34 1 153 213
156 35 172 154 247
157 36 182 159 192
158 37 252 159 198
159 38 251 159 186
160 39 192 162 189
161 40 250 164 188
162 41 86 164 260
163 42 210 166 226
164 43 242 167 191
165 44 309 169 217
166 45 71 172 226
167 46 111 172 295
168 47 120 173 203
169 48 325 174 252
170 49 25 175 298
171 50 13 176 239
172 51 41 178 331
173 52 121 183 237
174 53 334 184 253
175 54 251 184 211
176 55 151 188 272
177 56 73 190 247
178 57 60 192 258
