ID: 60-240-medium-62194433-8
Seed: 62194433

Size: Medium
Layout: [0]
Type: [Square, Hexagon, Triangle]

Mode: [Set, Available]
Station: [Set, Available]
Strategy: [FCFS, Robin, GreedyCost]
Algorithm: [A*, SIPP, BFS]

Agents: 60
Tasks: 240
CapacityModel: LayoutExpectedCost
CapacityStepsPerTask: 66.48
SetAssignmentPolicy: RoundRobin
MaxOpenTasksOnShelves: 360

Influx: Burst
Lambda: 0.90
BurstAmount: 72
BurstStartStep: 106
BurstDurationSteps: 53
BurstAmplitude: 3.00

SpatialDistribution: Wave
HotspotShelfShare: 0.10
HotspotTaskShare: 0.70
WaveZone: Center
WaveRadius: 12

DeadlineSlackPolicy: DensityBased
DeadlineSlack: 0.50

MaxReplans: 10

Task Agent Shelf Time Deadline
1 0 143 0 84
2 1 177 1 139
3 2 43 1 97
4 3 353 1 163
5 4 145 2 86
6 5 162 2 104
7 6 198 2 80
8 7 141 6 75
9 8 249 7 79
10 9 97 9 93
11 10 189 12 78
12 11 30 12 63
13 12 169 12 138
14 13 183 12 57
15 14 271 13 100
16 15 211 14 98
17 16 319 14 107
18 17 202 16 82
19 18 188 18 75
20 19 263 21 108
21 20 87 23 101
22 21 129 24 75
23 22 68 26 83
24 23 167 26 131
25 24 159 26 113
26 25 150 27 84
27 26 10 29 59
28 27 133 30 60
29 28 104 32 155
30 29 154 32 89
31 30 357 33 180
32 31 208 38 116
33 32 195 40 73
34 33 290 40 145
35 34 80 41 116
36 35 149 44 131
37 36 198 44 92
38 37 139 45 99
39 38 156 47 119
40 39 136 48 99
41 40 68 48 123
42 41 247 49 82
43 42 152 51 129
44 43 302 53 89
45 44 209 54 138
46 45 266 55 133
47 46 263 56 122
48 47 98 57 156
49 48 307 58 106
50 49 92 58 151
51 50 184 59 98
52 51 239 60 192
53 52 262 60 129
54 53 3 63 138
55 54 123 64 130
56 55 327 64 139
57 56 12 67 133
58 57 95 68 182
59 58 139 68 143
60 59 162 70 196
61 0 101 71 173
62 1 25 71 146
63 2 146 73 154
64 3 87 73 154
65 4 158 74 176
66 5 309 76 163
67 6 207 77 179
68 7 240 79 133
69 8 145 83 155
70 9 290 84 213
71 10 335 87 210
72 11 107 89 194
73 12 353 90 243
74 13 263 91 184
75 14 325 91 193
76 15 155 95 179
77 16 149 99 183
78 17 293 100 226
79 18 219 100 205
80 19 83 101 176
81 20 248 103 160
82 21 259 104 182
83 22 17 105 162
84 23 202 105 165
85 24 312 111 177
86 25 94 115 190
87 26 147 117 189
88 27 56 118 253
89 28 184 119 152
90 29 329 119 218
91 30 215 120 201
92 31 206 120 192
93 32 292 121 229
94 33 210 122 185
95 34 43 122 260
96 35 241 124 145
97 36 333 124 217
98 37 212 124 187
99 38 268 125 200
100 39 202 125 197
101 40 314 126 180
102 41 127 127 178
103 42 139 127 190
104 43 321 127 196
105 44 106 127 262
106 45 35 128 242
107 46 18 128 212
108 47 346 128 236
109 48 311 129 168
110 49 283 129 234
111 50 80 130 211
112 51 261 130 199
113 52 203 130 214
114 53 151 130 202
115 54 143 130 232
116 55 213 131 209
117 56 324 131 188
118 57 60 131 197
119 58 36 131 257
120 0 234 132 276
121 1 175 132 264
122 2 134 132 180
123 59 330 132 183
124 3 334 133 262
125 4 248 133 214
126 5 332 134 245
127 6 296 135 291
128 7 233 135 267
129 8 155 135 216
130 9 252 136 205
131 10 285 137 275
132 11 319 137 227
133 12 194 138 198
134 13 320 138 234
135 14 77 139 172
136 15 195 139 199
137 16 115 140 245
138 17 2 140 176
139 18 126 141 180
140 19 154 141 216
141 20 94 142 202
142 21 349 142 295
143 22 246 142 199
144 23 135 142 172
145 24 129 142 196
146 25 197 142 196
147 26 337 144 249
148 27 153 145 211
149 28 109 146 284
150 29 200 146 194
151 30 204 146 215
152 31 132 146 173
153 32 211 149 206
154 33 134 153 192
155 34 16 153 219
156 35 192 154 175
157 36 191 159 186
158 37 270 159 222
159 38 266 159 228
160 39 205 162 243
161 40 259 164 221
162 41 143 164 239
163 42 215 166 241
164 43 263 167 230
165 44 309 169 217
166 45 122 172 226
167 46 145 172 268
168 47 149 173 272
169 48 333 174 255
170 49 67 175 256
171 50 61 176 230
172 51 76 178 253
173 52 144 183 282
174 53 339 184 268
175 54 256 184 226
176 55 186 188 248
177 56 140 190 265
178 57 89 192 327
179 58 208 195 300
180 59 210 195 258
181 0 335 197 332
182 1 214 198 303
183 2 350 201 339
184 3 226 201 339
185 4 293 202 349
186 5 205 204 291
187 6 236 207 351
188 7 111 207 309
189 8 151 208 277
190 9 237 208 352
191 10 202 211 292
192 11 65 212 239
193 12 328 214 337
194 13 87 215 296
195 14 150 216 270
196 15 267 216 321
197 16 272 217 313
198 17 210 217 280
199 18 94 219 291
200 19 99 219 303
201 20 348 219 360
202 21 358 221 380
203 22 326 222 327
204 23 141 228 279
205 24 244 229 280
206 25 324 229 325
207 26 195 231 270
208 27 92 231 306
209 28 203 232 298
210 29 339 232 340
211 30 309 233 305
212 31 197 233 281
213 32 211 234 291
214 33 39 237 351
215 34 123 237 279
216 35 164 238 346
217 36 31 238 331
218 37 204 243 315
219 38 94 244 322
220 39 179 246 378
221 40 86 246 351
222 41 46 246 390
223 42 263 250 316
224 43 78 252 321
225 44 269 253 325
226 45 79 253 331
227 46 148 255 360
228 47 280 255 339
229 48 67 256 340
230 49 152 256 337
231 50 69 256 334
232 51 133 258 312
233 52 143 258 354
234 53 260 258 306
235 54 207 258 360
236 55 217 259 349
237 56 220 259 358
238 57 90 260 359
239 58 209 261 369
240 59 145 263 362
