Agents: 20
Tasks: 50
Layout: [0]
Mode: [Set,Available]
Station: [Set,Available]
Strategy: [FCFS,Robin,GreedyCost]
Algorithm: [A*,SIPP,BFS]
Type: [Square, Hexagon, Triangle]

Task Agent Shelf Time Deadline
1 0 0 0 60
2 1 3 0 60
3 2 6 0 60
4 3 9 0 60
5 4 20 0 60
6 5 23 5 70
7 6 26 5 70
8 7 29 5 70
9 8 10 10 75
10 9 13 10 75
11 10 16 10 75
12 11 19 15 80
13 12 30 15 80
14 13 33 15 80
15 14 36 20 85
16 15 39 20 85
17 16 40 20 85
18 17 43 25 90
19 18 46 25 90
20 19 49 25 90
21 0 60 30 95
22 1 63 30 95
23 2 66 30 95
24 3 69 35 100
25 4 50 35 100
26 5 53 35 100
27 6 56 40 105
28 7 59 40 105
29 8 70 40 105
30 9 73 45 110
31 10 80 45 110
32 11 83 45 110
33 12 86 50 115
34 13 89 50 115
35 14 100 50 115
36 15 103 55 120
37 16 106 55 120
38 17 109 55 120
39 18 90 60 125
40 19 93 60 125
41 0 96 60 125
42 1 99 65 130
43 2 110 65 130
44 3 113 65 130
45 4 116 70 135
46 5 119 70 135
47 6 1 75 140
48 7 21 75 140
49 8 42 80 145
50 9 88 80 145
