Agents: 20
Tasks: 50
Mode: Available
Station: Set
Strategy: FCFS
Algorithm: SIPP
Layout: 1

Task Agent Location Time Deadline
1 0 64 0 60
2 1 67 0 60
3 2 70 0 60
4 3 73 0 60
5 4 76 0 60
6 5 79 5 70
7 6 82 5 70
8 7 85 5 70
9 8 94 10 75
10 9 97 10 75
11 10 100 10 75
12 11 103 15 80
13 12 106 15 80
14 13 109 15 80
15 14 112 20 85
16 15 115 20 85
17 16 184 20 85
18 17 187 25 90
19 18 190 25 90
20 19 193 25 90
21 0 196 30 95
22 1 199 30 95
23 2 202 30 95
24 3 205 35 100
25 4 214 35 100
26 5 217 35 100
27 6 220 40 105
28 7 223 40 105
29 8 226 40 105
30 9 229 45 110
31 10 304 45 110
32 11 307 45 110
33 12 310 50 115
34 13 313 50 115
35 14 316 50 115
36 15 319 55 120
37 16 322 55 120
38 17 325 55 120
39 18 334 60 125
40 19 337 60 125
41 0 340 60 125
42 1 343 65 130
43 2 346 65 130
44 3 349 65 130
45 4 352 70 135
46 5 355 70 135
47 6 65 75 140
48 7 77 75 140
49 8 186 80 145
50 9 312 80 145

