Agents: 20
Tasks: 100
Mode: Available
Station: Available
Strategy: FCFS
Algorithm: BFS
Layout: 1

Task Agent Location Time Deadline
1 0 346 0 70
2 1 103 1 71
3 2 190 3 73
4 3 223 4 74
5 4 94 6 76
6 5 205 7 77
7 6 319 9 79
8 7 205 10 80
9 8 226 12 82
10 9 229 13 83
11 10 220 15 85
12 11 70 16 86
13 12 355 18 88
14 13 73 20 90
15 14 199 22 92
16 15 115 23 93
17 16 334 25 95
18 17 112 27 97
19 18 106 29 99
20 19 217 30 100
21 0 79 32 102
22 1 85 34 104
23 2 325 35 105
24 3 349 37 107
25 4 199 39 109
26 5 94 41 111
27 6 82 42 112
28 7 337 44 114
29 8 82 46 116
30 9 76 48 118
31 10 214 50 120
32 11 217 52 122
33 12 355 54 124
34 13 193 56 126
35 14 304 57 127
36 15 184 59 129
37 16 334 61 131
38 17 76 63 133
39 18 229 65 135
40 19 73 66 136
41 0 310 68 138
42 1 322 70 140
43 2 343 72 142
44 3 349 74 144
45 4 322 76 146
46 5 220 78 148
47 6 340 79 149
48 7 106 81 151
49 8 67 83 153
50 9 64 84 154
51 10 100 86 156
52 11 100 88 158
53 12 352 90 160
54 13 70 92 162
55 14 109 94 164
56 15 64 96 166
57 16 79 98 168
58 17 115 100 170
59 18 313 102 172
60 19 79 103 173
61 0 67 105 175
62 1 97 107 177
63 2 343 108 178
64 3 112 110 180
65 4 187 112 182
66 5 196 114 184
67 6 97 116 186
68 7 190 118 188
69 8 307 120 190
70 9 304 122 192
71 10 73 124 194
72 11 346 126 196
73 12 352 128 198
74 13 319 130 200
75 14 325 132 202
76 15 202 134 204
77 16 109 136 206
78 17 223 138 208
79 18 85 140 210
80 19 316 142 212
81 0 82 143 213
82 1 103 144 214
83 2 184 145 215
84 3 196 146 216
85 4 202 147 217
86 5 70 148 218
87 6 340 149 219
88 7 193 149 219
89 8 187 149 219
90 9 67 149 219
91 10 226 150 220
92 11 76 150 220
93 12 316 150 220
94 13 64 150 220
95 14 337 150 220
96 15 307 150 220
97 16 310 150 220
98 17 214 150 220
99 18 85 150 220
100 19 313 150 220

